PT,AU,BA,BE,GP,AF,BF,CA,TI,SO,SE,BS,LA,DT,CT,CY,CL,SP,HO,DE,ID,AB,C1,RP,EM,RI,OI,FU,FX,CR,NR,TC,Z9,U1,U2,PU,PI,PA,SN,EI,BN,J9,JI,PD,PY,VL,IS,PN,SU,SI,MA,BP,EP,AR,DI,D2,EA,EY,PG,WC,SC,GA,UT,PM,OA,HC,HP,DA
J,"Gu, J; Korteweg, C",,,,"Gu, Jiang; Korteweg, Christine",,,Pathology and pathogenesis of severe acute respiratory syndrome,AMERICAN JOURNAL OF PATHOLOGY,,,,,,,,,,,,"Severe acute respiratory syndrome (SARS) is an emerging infectious viral disease characterized by severe clinical manifestations of the lower respiratory tract. The pathogenesis of SARS is highly complex, with multiple factors leading to severe injury in the lungs and dissemination of the virus to several other organs. The SARS coronavirus; targets the epithelial cells of the respiratory tract, resulting in diffuse alveolar damage. Several organs/cell types may he infected in the course of the illness, including mucosal cells of the intestines, tubular epithelial cells of the kidneys, neurons of the brain, and several types of immune cells, and certain organs may suffer from indirect injury. Extensive studies have provided a basic understanding of the pathogenesis of this disease. in this review we describe the most significant pathological features of SARS, explore the etiological factors causing these pathological changes, and discuss the major pathogenetic mechanisms. The latter include dysregulation of cytokines/chemokines, deficiencies in the innate immune response, direct infection of immune cells, direct viral cytopathic effects, down-regulation of lung protective angiotensin converting enzyme 2, autoimmunity, and genetic factors. it seems that both abnormal immune responses and injury to immune cells may be key factors in the pathogenesis of this new disease.",,,,,,,,,,,,,,,,,,,,,,APR,2007,170,4,,,,,1136,1147,,10.2353/ajpath.2007.061088,,,,,,,,WOS:000245233000002,,,,,
J,"Dubey, JP; Schares, G; Ortega-Mora, LM",,,,"Dubey, J. P.; Schares, G.; Ortega-Mora, L. M.",,,Epidemiology and control of neosporosis and Neospora caninum,CLINICAL MICROBIOLOGY REVIEWS,,,,,,,,,,,,"Neospora caninum is a protozoan parasite of animals. Until 1988, it was misidentified as Toxoplasma gondii. Since its first recognition in dogs in 1984 and the description of the new genus and species Neospora caninum in 1988, neosporosis has emerged as a serious disease of cattle and dogs worldwide. Abortions and neonatal mortality are a major problem in livestock operations, and neosporosis is a major cause of abortion in cattle. Although antibodies to N. caninum have been reported, the parasite has not been detected in human tissues. Thus, the zoonotic potential is uncertain. This review is focused mainly on the epidemioloy and control of neosporosis in cattle, but worldwide seroprevalences of N. caninum in animals and humans are tabulated. The role of wildlife in the life cycle of N. caninum and strategies for the control of neosporosis in cattle are discussed.",,,,,,,,,,,,,,,,,,,,,,APR,2007,20,2,,,,,323,+,,10.1128/CMR.00031-06,,,,,,,,WOS:000246058900006,,,,,
J,"Carmena, D; Benito, A; Eraso, E",,,,"Carmena, David; Benito, Aitziber; Eraso, Elena",,,Recent advances in the immunodiagnosis of human cystic echinococcosis,ENFERMEDADES INFECCIOSAS Y MICROBIOLOGIA CLINICA,,,,,,,,,,,,"Human cystic echinococcosis is a severe zoonotic infection caused by the larval stage of the taeniid tapeworm Echinococcus granulosus. The infection may be fatal if proper treatment is not provided; hence, early diagnosis is very important. Currently, ELISA and immunoblotting are the most reliable tests for serodiagnositic purposes, although their accuracy is largely dependent on the quality of the antigenic source used. Hydatid cyst fluid has been the antigenic extract of choice for primary immunodiagnosis of the disease, which is mainly based on the detection of antigens B and 5. Several problems are associated with this extract, however, including a lack of sensitivity and specificity, and difficulties with standardization of its use. This paper reviews recent advances in the identification and characterization of novel antigens that may be useful for the immunodiagnosing of human cystic echinococcosis, with emphasis on progress in recombinant technologies and synthetic peptides. Novel approaches are discussed, such as the design of antigenic extracts from other developmental stages of the parasite, as well as the usefulness of serum cytokine detection in the clinical follow-up of affected patients after surgical or pharmacological treatment.",,,,,,,,,,,,,,,,,,,,,,APR,2007,25,4,,,,,263,269,,10.1157/13100468,,,,,,,,WOS:000245368800009,,,,,
J,"Ceccaldi, PF; Longuet, P; Mandelbrot, L",,,,"Ceccaldi, P. -F.; Longuet, P.; Mandelbrot, L.",,,Emerging viral infectious diseases and pregnancy,GYNECOLOGIE OBSTETRIQUE & FERTILITE,,,,,,,,,,,,"Various emerging diseases have been reported in recent years as epidemiologic monitoring improves. These infections can compromise the pregnancy, through adverse maternal outcomes, as well as the outcome for the child following transmission. We report a review of the literature concerning the most quoted emergent virus (H5N1, SARS Coronavirus, Chikungunya, West Nile virus), and relate the perinatal management. (C) 2007 Elsevier Masson SAS. Tous droits reserves.",,,,,,,,,,,,,,,,,,,,,,APR,2007,35,4,,,,,339,342,,10.1016/j.gyobfe.2007.02.020,,,,,,,,WOS:000254329600011,,,,,
J,"Cutler, SJ; Bouzid, M; Cutler, RR",,,,"Cutler, Sally J.; Bouzid, Maha; Cutler, Ronald R.",,,Q fever,JOURNAL OF INFECTION,,,,,,,,,,,,"An outbreak of Q fever occurred in Scotland during this summer and was reported in news headlines. Despite these newsworthy headlines, Q fever remains poorly understood. The causative organism, Coxiella burnetii, has a worldwide distribution, with the notable exception of New Zealand. Even with its ubiquitous nature, Q fever is rarely reported. We explore some of the underlying reasons for this apparent under diagnosis together with some of the diagnostic challenges posed by this obligate intracellular pathogen. The host range for this microbe spans arthropods, through to birds and a diverse range of mammals including livestock, companion animals and man. In most, infection remains sub-clinical, however, in some, infection can cause severe and life-threatening complications. Furthermore, possible tong-term persistence within those infected, may result in long-term sequelae disassociated from initial risk factors or acute clinical presentation. We review current thinking on C. burnetii, and identify some of our current knowledge gaps. (c)) 2006 The British Infection Society. Published by Elsevier Ltd. All. rights reserved.",,,,,,,,,,,,,,,,,,,,,,APR,2007,54,4,,,,,313,318,,10.1016/j.jinf.2006.10.048,,,,,,,,WOS:000245548700001,,,,,
J,"Teigen, PM",,,,"Teigen, Philip M.",,,Legislating fear and the public health in gilded age Massachusetts,JOURNAL OF THE HISTORY OF MEDICINE AND ALLIED SCIENCES,,,,,,,,,,,,"Between 1876 and 1881 Massachusetts experienced an outbreak of human rabies (hydrophobia). The entire state-the Governor, the legislature, the State Board of Health, newspapers, and the citizenry and elected officials of every town and city-reacted to the disease. Central to the response was the Commonwealth's legislature called the General Court. Through public hearings, their own debates, and the passage of legislation, it resolved widespread fear and anger, mediated conflicting concepts of disease, and promoted social solidarity in the face of an epidemic. This article first narrates the General Court's legislative actions; it then examines the conflicting understandings of disease causality; finally, it explores the social and political rituals the legislature drew upon to deal with this public health crisis. Arguing that public health legislation is simultaneously instrumental and symbolic, this article demonstrates that attention to both enriches the study of epidemics, historical and yet to come.",,,,,,,,,,,,,,,,,,,,,,APR,2007,62,2,,,,,141,170,,10.1093/jhmas/jrl016,,,,,,,,WOS:000245141200002,,,,,
J,"Xie, F; Lau, MWN; Stuart, SN; Chanson, JS; Cox, NA; Fischman, DL",,,,"Xie Feng; Lau, Michael Wai Neng; Stuart, Simon N.; Chanson, Janice S.; Cox, Neil A.; Fischman, Debra L.",,,Conservation needs of amphibians in China: A review,SCIENCE IN CHINA SERIES C-LIFE SCIENCES,,,,,,,,,,,,"The conservation status of all the amphibians in China is analyzed, and the country is shown to be a global priority for conservation in comparison to many other countries of the world. Three Chinese regions are particularly rich in amphibian diversity: Hengduan, Nanling, and Wuyi mountains. Salamanders are more threatened than frogs and toads. Several smaller families show a high propensity to become seriously threatened: Bombinatoridae, Cryptobranchidae, Hynobiidae and Salamandridae. Like other parts of the world, stream-breeding, high-elevation forest amphibians have a much higher likelihood of being seriously threatened. Habitat loss, pollution, and over-harvesting are the most serious threats to Chinese amphibians. Over-harvesting is a less pervasive threat than habitat loss, but it is more likely to drive a species into rapid decline. Five conservation challenges are mentioned with recommendations for the highest priority research and conservation actions.",,,,,,,,,,,,,,,,,,,,,,APR,2007,50,2,,,,,265,276,,10.1007/s11427-007-0021-5,,,,,,,,WOS:000246273700017,,,,,
J,"Skoric, M; Shitaye, EJ; Halouzka, R; Fictum, P; Trcka, I; Heroldova, M; Tkadlec, E; Pavlik, I",,,,"Skoric, M.; Shitaye, E. J.; Halouzka, R.; Fictum, P.; Trcka, I.; Heroldova, M.; Tkadlec, E.; Pavlik, I.",,,Tuberculous and tuberculoid lesions in free living small terrestrial mammals and the risk of infection to humans and animals: a review,VETERINARNI MEDICINA,,,,,,,,,,,,"The present study describes pathogenesis and morphology of tuberculous and tuberculoid lesions in small terrestrial mammals, above all, in rodents. The most serious infectious agents that cause tuberculous and tuberculoid lesions in these animals are also cited. Besides others, the diseases caused by pathogenic mycobacteria that are members of Mycobacterium tuberculosis and M. avium complexes, M. lepraemurium, tularaemia, brucellosis and salmonellosis are included in the present study.",,,,,,,,,,,,,,,,,,,,,,APR,2007,52,4,,,,,144,161,,,,,,,,,,WOS:000245888200002,,,,,
J,"Mensah, GA; Grant, AO; Pepine, CJ",,,,"Mensah, George A.; Grant, Augustus O.; Pepine, Carl J.",,,ACCF/AHA/CDC Conference Report on Emerging Infectious Diseases and Biological Terrorism threats - The clinical and public health implications for the prevention and control of cardiovascular diseases,JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27-Mar,2007,49,12,,,,,1373,1412,,10.1016/j.jacc.2007.01.017,,,,,,,,WOS:000245384600023,,,,,
J,"Kotton, CN",,,,"Kotton, Camille N.",,,Zoonoses in solid-organ and hematopoietic stem cell transplant recipients,CLINICAL INFECTIOUS DISEASES,,,,,,,,,,,,"Numerous reports exist of the transmission of zoonoses to humans during and after solid-organ and hematopoietic stem cell transplantation. Donor-derived infections of numerous etiologies, including West Nile virus infection, Chagas disease, toxoplasmosis, rabies, lymphocytic choriomeningitis virus infection, and infection due to Brucella species have been reported. Most zoonoses occur as a primary infection after transplantation, and immunocompromised patients are more likely to experience significant morbidity and mortality from these infections. Risks of zoonotic infection in the posttransplantation period could be reduced by patient education. Increased recognition of the risks of zoonoses, as well as the advent of molecular biology-based testing, will potentially augment diagnostic aptitude. Documented zoonotic infection as it affects transplantation will be the primary focus of this review.",,,,,,,,,,,,,,,,,,,,,,15-Mar,2007,44,6,,,,,857,866,,10.1086/511859,,,,,,,,WOS:000244242500018,,,,,
J,"Wong, S; Lau, S; Woo, P; Yuen, KY",,,,"Wong, Samson; Lau, Susanna; Woo, Patrick; Yuen, Kwok-Yung",,,Bats as a continuing source of emerging infections in humans,REVIEWS IN MEDICAL VIROLOGY,,,,,,,,,,,,"Amongst the 60 viral species reported to be associated with bats, 59 are RNA viruses, which are potentially important in the generation of emerging and re-emerging infections in humans. The prime examples of these are the lyssaviruses and Henipavirus. The transmission of Nipah, Hendra and perhaps SARS coronavirus and Ebola virus to humans may involve intermediate amplification hosts such as pigs, horses, civets and primates, respectively. Understanding of the natural reservoir or introductory host, the amplifying host, the epidemic centre and at-risk human populations are crucial in the control of emerging zoonosis. The association between the bat coronaviruses and certain lyssaviruses with particular bat species implies co-evolution between specific viruses and bat hosts. Cross-infection between the huge number of bat species may generate new viruses which are able to jump the trans-mammalian species barrier more efficiently. The currently known viruses that have been found in bats are reviewed and the risks of transmission to humans are highlighted. Certain families of bats including the Pteropodidae, Molossidae, Phyllostomidae, and Vespertilionidae are most frequently associated with known human pathogens. A systematic survey of bats is warranted to better understand the ecology of these viruses. Copyright (c) 2006 John Wiley & Sons, Ltd.",,,,,,,,,,,,,,,,,,,,,,MAR-APR,2007,17,2,,,,,67,91,,10.1002/rmv.520,,,,,,,,WOS:000245379000002,,,,,
J,"Ceelen, LM; Haesebrouck, F; Ducatelle, R; Decostere, A",,,,"Ceelen, L. M.; Haesebrouck, F.; Ducatelle, R.; Decostere, A.",,,The occurrence and clinical significance of enterohepatic Helicobacter species in laboratory rodents,VLAAMS DIERGENEESKUNDIG TIJDSCHRIFT,,,,,,,,,,,,"To date, 13 enterohepatic Helicobacter species have been detected in laboratory rodents. Some of these species, in particular Helicobacter hepaticus and Helicobacter bilis, cause disease in immunocompromised and immunocompetent laboratory mice, rats and/or hamsters. In addition, subclinical infections with these bacteria may interfere with results obtained from experimental research in these animals and thus may lead to faulty interpretation of the data. Some laboratory rodent-associated Helicobacter species may also be considered zoonotic agents. Apart from Helicobacter hepaticus, the pathogenesis of Helicobacter infections has not been studied extensively, a fact which means there are substantial gaps in the comprehension of the virulence mechanisms of enterohepatic Helicobacter species associated with laboratory rodents. For all these reasons, the potential importance of these bacterial pathogens cannot be overlooked and undoubtedly merits further investigation.",,,,,,,,,,,,,,,,,,,,,,MAR-APR,2007,76,2,,,,,103,116,,,,,,,,,,WOS:000246103200002,,,,,
J,"Barrow, PA",,,,"Barrow, P. A.",,,Salmonella infections: immune and non-immune protection with vaccines,AVIAN PATHOLOGY,,,,,,,,,,,,"Salmonella enterica in poultry remains a major political issue. S. enterica serovar Enteritidis, particularly, remains a world-wide problem. Control in poultry by immunity, whether acquired or innate, is a possible means of containing the problem. Widespread usage of antibiotics has led to the emergence of multiple antibiotic-resistant bacteria. This problem has indicated an increasing requirement for effective vaccines to control this important zoonotic infection. An attempt is made in the present review to explain the relatively poor success in immunizing food animals against these non-host-specific Salmonella serotypes that usually produce food-poisoning, compared with the success obtained with the small number of serotypes that more typically produce systemic ""typhoid-like"" diseases. New examinations of old problems such as the carrier state and vertical transmission, observed with S. Pullorum, is generating new information of relevance to immunity. Newer methods of attenuation are being developed. Live vaccines, if administered orally, demonstrate non-specific and rapid protection against infection that is of biological and practical interest. However, from the point of view of consumer safety, there is a school of thought that considers inactivated or sub-unit vaccines to be the safest. The benefits of developing effective killed or sub-unit vaccines over the use of live vaccines are enormous. Recently, there have been significant advances in the development of adjuvants (e.g. microspheres) that are capable of potent immuno-stimulation, targeting different arms of the immune system. The exploitation of such technology in conjunction with the ongoing developments in identifying key Salmonella virulence determinants should form the next generation of Salmonella sub-unit vaccines for the control of this important group of pathogens. There are additional areas of concern associated with the use of live vaccines, particularly if these are generated by genetic manipulation.",,,,,,,,,,,,,,,,,,,,,,FEB,2007,36,1,,,,,1,13,,10.1080/03079450601113167,,,,,,,,WOS:000244691300001,,,,,
J,"Dolhnikoff, M; Mauad, T; Bethlem, EP; Carvalho, CRR",,,,"Dolhnikoff, Marisa; Mauad, Thais; Bethlem, Eduardo P.; Ribeiro Carvalho, Carlos Roberto",,,Pathology and pathophysiology of pulmonary manifestations in leptospirosis,BRAZILIAN JOURNAL OF INFECTIOUS DISEASES,,,,,,,,,,,,"Leptospirosis is a re-emerging zoonosis occurring as large outbreaks throughout the world caused by Leptospira interrogans. The incidence of pulmonary involvement in leptospirosis has been reported to be increasing in the last years, affecting up to 70% of the patients. Alveolar hemorrhage presented as dyspnea and hemoptysis is the main pulmonary manifestation. The emergence of massive hemoptysis and acute respiratory distress syndrome has characterized the recent changes reported in the clinical patterns of leptospirosis. The pulmonary involvement has been emerged as a serious life threat, becoming the main cause of death due to leptospirosis in some countries. In this review we present the main clinical and pathological manifestations of pulmonary involvement in leptospirosis, with special focus on recent data concerning the pathophysiological mechanisms underlying lung injury.",,,,,,,,,,,,,,,,,,,,,,FEB,2007,11,1,,,,,142,148,,10.1590/S1413-86702007000100029,,,,,,,,WOS:000253997600029,,,,,
J,"Filippou, D; Tselepis, D; Filippou, G; Papadopoulos, V",,,,"Filippou, Dimitrios; Tselepis, Dimitrios; Filippou, Georgios; Papadopoulos, Vassilios",,,Advances in liver echinococcosis: Diagnosis and treatment,CLINICAL GASTROENTEROLOGY AND HEPATOLOGY,,,,,,,,,,,,"Echinococcosis or hydatid cyst disease is a zoonosis caused by the larval cestode Ecbinococcus granulosus. It consists of a parasitic tapeworm disease affecting mainly liver. Nevertheless, the disease might well spread to more unusual sites such as lungs and brain. The definitive diagnosis of liver echinococcosis requires a combination of imaging, serologic, and immunologic studies. Despite the fact that a number of scolecoidal agents have been developed against liver hydatid disease, the cornerstone of the definitive treatment remains surgery. Both the classic surgical techniques and the recently developed minimally invasive and laparoscopic methods target the eradication of the disease by simultaneously avoiding perioperative spillage and dissemination or recurrence of echinococcosis. The present article constitutes a review of the biology of the parasite as well as the epidemiology, diagnosis, and therapeutic options of the liver hydatid disease.",,,,,,,,,,,,,,,,,,,,,,FEB,2007,5,2,,,,,152,159,,10.1016/j.cgh.2006.08.017,,,,,,,,WOS:000244511700005,,,,,
J,"Bradley, CA; Altizer, S",,,,"Bradley, Catherine A.; Altizer, Sonia",,,Urbanization and the ecology of wildlife diseases,TRENDS IN ECOLOGY & EVOLUTION,,,,,,,,,,,,"Urbanization is intensifying worldwide, with two-thirds of the human population expected to reside in cities within 30 years. The role of cities in human infectious disease is well established, but less is known about how urban landscapes influence wildlife-pathogen interactions. Here, we draw on recent advances in wildlife epidemiology to consider how environmental changes linked with urbanization can alter the biology of hosts, pathogens and vectors. Although urbanization reduces the abundance of many wildlife parasites, transmission can, in some cases, increase among urbanadapted hosts, with effects on rarer wildlife or those living beyond city limits. Continued rapid urbanization, together with risks posed by multi-host pathogens for humans and vulnerable wildlife populations, emphasize the need for future research on wildlife diseases in urban landscapes.",,,,,,,,,,,,,,,,,,,,,,FEB,2007,22,2,,,,,95,102,,10.1016/j.tree.2006.11.001,,,,,,,,WOS:000244169200006,,,,,
J,"Van Reeth, K",,,,"Van Reeth, Kristen",,,Avian and swine influenza viruses: our current understanding of the zoonotic risk,VETERINARY RESEARCH,,,,,,,,,,,,"The introduction of swine or avian influenza (AI) viruses in the human population can set the stage for a pandemic, and many fear that the Asian H5N1 AI virus will become the next pandemic virus. This article first compares the pathogenesis of avian, swine and human influenza viruses in their natural hosts. The major aim was to evaluate the zoonotic potential of swine and avian viruses, and the possible role of pigs in the transmission of AI viruses to humans. Cross-species transfers of swine and avian influenza to humans have been documented on several occasions, but all these viruses lacked the critical capacity to spread from human-to-human. The extreme virulence of H5N1 in humans has been associated with excessive virus replication in the lungs and a prolonged overproduction of cytokines by the host, but there remain many questions about the exact viral cell and tissue tropism. Though pigs are susceptible to several AI subtypes, including H5N1, there is clearly a serious barrier to infection of pigs with such viruses. AI viruses frequently undergo reassortment in pigs, but there is no proof for a role of pigs in the generation of the 1957 or 1968 pandemic reassortants, or in the transmission of H5N1 or other wholly avian viruses to humans. The major conclusion is that cross-species transmission of influenza viruses per se is insufficient to start a human influenza pandemic and that animal influenza viruses must undergo dramatic but largely unknown genetic changes to become established in the human population.",,,,,,,,,,,,,,,,,,,,,,FEB-MAR,2007,38,2,,,,,243,260,,10.1051/vetres:2006062,,,,,,,,WOS:000244209400006,,,,,
S,"Graczyk, TK; Fried, B",,"Baker, JR; Mller, R; Rollinson, D",,"Graczyk, Thaddeus K.; Fried, Bernard",,,Human waterborne trematode and protozoan infections,"ADVANCES IN PARASITOLOGY, VOL 64",Advances in Parasitology,,,,,,,,,,,"Waterborne trematode and protozoan infections Inflict considerable morbidity on healthy, i.e., immunocompetent people, and may cause life-threatening diseases among immunocompromised and immunosuppressed populations. These infections are common, easily transmissible, and maintain a worldwide distribution, although waterborne trematode infections remain predominantly confined to the developing countries. Waterborne transmission of trematodes is enhanced by cultural practices of eating raw or inadequately cooked food, socioeconomical factors, and wide zoonotic and sylvatic reservoirs of these helminths. Waterborne protozoan infections remain common in both developed and developing countries (although better statistics exist for developed countries), and their transmission is facilitated via contacts with recreational and surface waters, or via consumption of contaminated drinking water. The transmissive stages of human protozoan parasites are small, shed in large numbers in feces of infected people or animals, resistant to environmental stressors while in the environment, and few are (e.g., Cryptosporidium oocysts) able to resist standard disinfection applied to drinking water.",,,,,,,,,,,,,,,,,,,,,,,2007,64,,,,,,111,160,,10.1016/S0065-308X(06)64002-5,,,,,,,,WOS:000246945700002,,,,,
J,"Chahed, A; China, B; Daube, G",,,,"Chahed, A.; China, B.; Daube, G.",,,Escherichia coli producers of Shiga toxins in toxic food-borne infections,ANNALES DE MEDECINE VETERINAIRE,,,,,,,,,,,,"Some Shigatoxin-producing Escherichia coli (STEC) are responsible for foodborne diseases including diarrhoea but also more severe syndromes involving death in humans. They are zoonotic agents with bovine and other ruminants as the major reservoir. The major routes of transmission are usually ingestion of contaminated food (under-cooked beef products or inpasteurised milk), contaminated water, person-to-person contact and contact with animals (especially cattle) and leur environment. The major virulence factors of Shigatoxins-producing E. coli are encoded by a pathogenesis island, the locus of enterocyte effacement involved in the attaching and effacing lesion formation and in diarrhoea and the Shigatoxins encoded by bacteriophages and involved in extra-intestinal syndromes. The O157: H7 serotype STEC strain is responsible for outbreaks worldwide causing thousands of ills and tens of deaths. Numerous diagnosis methods were developed to identify this pathogen from food. They include classical bacteriological, immunological and molecular methods. Hygiene control is particularly important to avoid animal contamination in farms and meat contamination in slaughterhouse. Finally, risk assessment models have been developed in order to study the behaviour of STEC in the food chain.",,,,,,,,,,,,,,,,,,,,,,,2007,151,4,,,,,215,246,,,,,,,,,,WOS:000259355200002,,,,,
S,"Williams, MA; Bevan, MJ",,,,"Williams, Matthew A.; Bevan, Michael J.",,,Effector and memory CTL differentiation,ANNUAL REVIEW OF IMMUNOLOGY,Annual Review of Immunology,,,,,,,,,,,"Technological advances in recent years have allowed for an ever-expanding ability to analyze and quantify in vivo immune responses. MHC tetramers, intracellular cytokine staining, an increasing repertoire of transgenic and ""knockout"" mice, and the detailed characterization of a variety of infectious models have all facilitated more precise and definitive analyses of the generation and function of cytotoxic T lymphocytes (CTL). Understanding the mechanisms behind the differentiation of effector and memory CTL is of increasing importance to develop vaccination strategies against a variety of established and emerging infectious diseases. This review focuses on recent advances in our understanding of how effector and memory CTL differentiate and survive in vivo in response to viral or bacterial infection.",,,,,,,,,,,,,,,,,,,,,,,2007,25,,,,,,171,192,,10.1146/annurev.immunol.25.022106.141548,,,,,,,,WOS:000246437100007,,,,,
J,"van der Hoek, L",,,,"van der Hoek, Lia",,,Human coronaviruses: what do they cause?,ANTIVIRAL THERAPY,,,,,,,,,,,,"SARS-CoV human coronavirus NL63 (HCoV-NL63) and HCoV-HKU1 were first described in 2003, 2004 and 2005 respectively. Nevertheless, discovery of three new human coronaviruses does not necessary represent a sudden increase in emerging infections by new coronaviruses. Only SARS-CoV has recently been introduced to the human population; the other two have been circulating in humans for a long time. HCoV-HKU1 and HCoV-NL63 are respiratory coronaviruses, are frequently found during lower and upper respiratory tract infections, have spread worldwide, and prefer the winter season. These characteristics do not differ greatly from the symptoms described for the 'old' viruses HCoV-229E and Ill OC43. This report presents an overview of the current knowledge of the four human coronavirus that are now circulating in the human population.",,,,,,,,,,,,,,,,,,,,,,,2007,12,4,B,,,,651,658,,,,,,,,,,WOS:000248546600008,,,,,
J,"Woolhouse, M; Gaunt, E",,,,"Woolhouse, Mark; Gaunt, Eleanor",,,Ecological origins of novel human pathogens,CRITICAL REVIEWS IN MICROBIOLOGY,,,,,,,,,,,,"A systematic literature survey suggests that there are 1399 species of human pathogen. Of these, 87 were first reported in humans in the years since 1980. The new species are disproportionately viruses, have a global distribution, and are mostly associated with animal reservoirs. Their emergence is often driven by ecological changes, especially with how human populations interact with animal reservoirs. Here, we review the process of pathogen emergence over both ecological and evolutionary time scales by reference to the ""pathogen pyramid."" We also consider the public health implications of the continuing emergence of new pathogens, focusing on the importance of international surveillance.",,,,,,,,,,,,,,,,,,,,,,,2007,33,4,,,,,231,242,,10.1080/10408410701647560,,,,,,,,WOS:000251710500001,,,,,
J,"Greger, M",,,,"Greger, Michael",,,The human/animal interface: Emergence and resurgence of zoonotic infectious diseases,CRITICAL REVIEWS IN MICROBIOLOGY,,,,,,,,,,,,"Emerging infectious diseases, most of which are considered zoonotic in origin, continue to exact a significant toll on society. The origins of major human infectious diseases are reviewed and the factors underlying disease emergence explored. Anthropogenic changes, largely in land use and agriculture, are implicated in the apparent increased frequency of emergence and re-emergence of zoonoses in recent decades. Special emphasis is placed on the pathogen with likely the greatest zoonotic potential, influenzavirus A.",,,,,,,,,,,,,,,,,,,,,,,2007,33,4,,,,,243,299,,10.1080/10408410701647594,,,,,,,,WOS:000251710500002,,,,,
J,"Guerra, H",,,,"Guerra, Humberto",,,The brucellae and their success as pathogens,CRITICAL REVIEWS IN MICROBIOLOGY,,,,,,,,,,,,"Brucellae are tiny, aerobic, slow growing, catalase and oxidase positive Gram negative coccobacilli or small rods, which may reach man through exposure to tissues of mammalian hosts via cuts or aerosols, or as food infections mostly through dairy products. As parasites brucellae are extraordinarily successful, causing very long-lasting infections in all mammalian social animals, such as ungulates, canids, and rodents; recently they have been found to also cause disease in pinnipeds and cetaceans. Brucellae as members of the alpha Proteobacteria, have suffered major losses of genomic material as they adapted to their facultative intracellular parasite role, and are able to initiate infection with minimal disturbance of the innate immune system, thus reaching a privileged intracellular niche where they multiply. Brucellae are likely to be among the toughest organisms to control through public health and agricultural policies, even involving detection-slaughter strategies.",,,,,,,,,,,,,,,,,,,,,,,2007,33,4,,,,,325,331,,10.1080/10408410701647644,,,,,,,,WOS:000251710500004,,,,,
J,"Seimon, TA; Seimon, A; Daszak, P; Halloy, SRP; Schloegel, LM; Aguilar, CA; Sowell, P; Hyatt, AD; Konecky, B; Simmons, JE",,,,"Seimon, Tracie A.; Seimon, Anton; Daszak, Peter; Halloy, Stephan R. P.; Schloegel, Lisa M.; Aguilar, Cesar A.; Sowell, Preston; Hyatt, Alex D.; Konecky, Bronwen; Simmons, John E.",,,Upward range extension of Andean anurans and chytridiomycosis to extreme elevations in response to tropical deglaciation,GLOBAL CHANGE BIOLOGY,,,,,,,,,,,,"High-alpine life forms and ecosystems exist at the limits of habitable environments, and thus, are especially sensitive to environmental change. Here we report a recent increase in the elevational limit of anurans following glacial retreat in the tropical Peruvian Andes. Three species have colonized ponds in recently deglaciated terrain at new record elevations for amphibians worldwide (5244-5400 m). Two of these species were also found to be infected with Batrachochytrium dendrobatidis (Bd), an emerging fungal pathogen causally associated with global amphibian declines, including the disappearance of several Latin American species. The presence of this pathogen was associated with elevated mortality rates of at least one species. These results represent the first evidence of upward expansion of anurans to newly available habitat brought about by recent deglaciation. Furthermore, the large increase in the upper limit of known Bd infections, previously reported as 4112 m in Ecuador, to 5348 m in this study, also expands the spatial domain of potential Bd pathogenicity to encompass virtually all high elevation anuran habitats in the tropical Andes.",,,,,,,,,,,,,,,,,,,,,,JAN,2007,13,1,,,,,288,299,,10.1111/1365-2486.2006.01278.x,,,,,,,,WOS:000243403900023,,,,,
J,"Hopkins, WA",,,,"Hopkins, William A.",,,Amphibians as models for studying environmental change,ILAR JOURNAL,,,,,,,,,,,,"The use of amphibians as models in ecological research has a rich history. From an early foundation in studies of amphibian natural history sprang generations of scientists who used amphibians as models to address fundamental questions in population and community ecology. More recently, in the wake of an environment that human disturbances rapidly altered, ecologists have adopted amphibians as models for studying applied ecological issues such as habitat loss, pollution, disease, and global climate change. Some of the characteristics of amphibians that make them useful models for studying these environmental problems are highlighted, including their trophic importance, environmental sensitivity, research tractability, and impending extinction. The article provides specific examples from the recent literature to illustrate how studies on amphibians have been instrumental in guiding scientific thought on a broad scale. Included are examples of how amphibian research has transformed scientific disciplines, generated new theories about global health, called into question widely accepted scientific paradigms, and raised awareness in the general public that our daily actions may have widespread repercussions. In addition, studies on amphibian declines have provided insight into the complexity in which multiple independent factors may interact with one another to produce catastrophic and sometimes unpredictable effects. Because of the complexity of these problems, amphibian ecologists have been among the strongest advocates for interdisciplinary research. Future studies of amphibians will be important not only for their conservation but also for the conservation of other species, critical habitats, and entire ecosystems.",,,,,,,,,,,,,,,,,,,,,,,2007,48,3,,,,,270,277,,10.1093/ilar.48.3.270,,,,,,,,WOS:000247112200009,,,,,
