authors,title,year,journal,search,abstract
"Katherine F. Smith, Jean-François Guégan",Changing Geographic Distributions of Human Pathogens,2010,"Annual Review of Ecology, Evolution, and Systematics",Annual Reviews,"Since the rise of modern humans, changes in demography and land use and frequent contact with wildlife and domesticated animals have created ongoing opportunities for pathogen loss, gain, and evolution in the human population. Early transportation networks and population expansion created a world where many human-specific pathogens are now ubiquitous, yet zoonoses continue to emerge as humans encroach into the last remaining wild areas, increase livestock production, and plug into vast global trade networks. Pathogens are exploiting almost any change in human ecology that provides new opportunities for transmission, the most recent being rampant use of antibiotics resulting in new multidrug-resistant pathogens. Public health advances have benefitted some nations, but others continue to suffer from pathogens long eradicated by developed nations. Generalities of pathogen occurrence aid in disease prediction, but a systemic approach incorporating ecology, biogeography, public health, and conservation biology is ultimately necessary to fully comprehend the changing geographic distributions of human pathogens."
Peter Henry Huang,Happiness Studies and Legal Policy,2010,Annual Review of Law and Social Science,Annual Reviews,"Social scientists have conducted numerous empirical and experimental studies of self-reported happiness. This review focuses on two fundamental areas of research in happiness and law, namely alternative measures of happiness and various policies to foster happiness. There are many aspects, concepts, dimensions, and visions of happiness. Empirical findings often depend critically on which particular measure of happiness is analyzed. Happiness studies have applications to national well-being indices; policy evaluation; civil judicial and jury decision making about liability and damages in cases of sexual harassment, employment discrimination, and torts; optimal tax law design; family law; criminal sentencing; legal education; and legal practice. There are decision-making, health, productivity, and psychological benefits to various types of happiness. There are more or less paternalistic happiness interventions, including policies to encourage regular physical exercise, good sleep, and meditation. Hopefully, analysis of these topics offers exemplars of possibilities and limits to utilizing happiness studies in designing legal policy."
"Melanie T. Cushion, James R. Stringer",Stealth and Opportunism: Alternative Lifestyles of Species in the Fungal Genus Pneumocystis,2010,Annual Review of Microbiology,Annual Reviews,"Pneumocystis species are ascomycetous fungi that obligatorily dwell with no apparent ill effect in the lungs of normal mammals, but they become pathogenic when host defenses are compromised. Identified more than 100 years ago, these atypical fungi manifest characteristics that are unique within the Fungi, such as the lack of ergosterol, genetic complexity of surface antigens, and antigenic variation. Thought to be confined to the severely immunocompromised host, Pneumocystis spp. are being associated with new population niches owing to the advent of immunomodulatory therapies and increased numbers of patients suffering from chronic diseases. The inability to grow Pneumocystis spp. outside the mammalian lung has thwarted progress toward understanding their basic biology, but via the use of new genetic tools and other strategies, researchers are beginning to uncover their biological and genetic characteristics including a biphasic life cycle, significant metabolic capacities, and modulation of lifestyles."
"Richard D. Horan, Eli P. Fenichel, Christopher A. Wolf, Benjamin M. Gramig",Managing Infectious Animal Disease Systems,2010,Annual Review of Resource Economics,Annual Reviews,"We review the bioeconomic and disease ecology literatures on managing the spread of infectious diseases among and between wild and domestic animals. Management recommendations derived from these two literatures are compared and shown to differ due to the way each treats human behaviors. Conventional disease ecology models treat human behaviors as external to the disease system, whereas bioeconomic analysis treats behavior as an internal component of a jointly determined human-disease ecology system. The complexities of animal disease systems, including multiple state variables and imperfect controls, are shown to influence the overall level of optimal disease control, the optimal allocation of controls across species and activities, and long-run outcomes. Eradication is not always optimal, nor may it be optimal to pursue a steady-state outcome. Human responses to disease risks in decentralized settings are also examined. Finally, we conclude with a discussion of future research avenues."
"Markus Herrmann, Ramanan Laxminarayan",Antibiotic Effectiveness: New Challenges in Natural Resource Management,2010,Annual Review of Resource Economics,Annual Reviews,"Problems of optimal natural resource extraction that were first addressed by economists in the contexts of fisheries and forests have reemerged in the context of a newly recognized resource: antibiotic effectiveness. This review introduces economists to the growing literature on optimal use, innovation, and regulation of antibiotic effectiveness. Along the way, we draw links and parallels to similar problems in the management of other resources with which economists may be more familiar, and we address new questions that have arisen in the context of antibiotic effectiveness but that are also relevant to other resources."
Hoyt Bleakley,"Health, Human Capital, and Development",2010,Annual Review of Economics,Annual Reviews,"How much does disease depress development in human capital and income around the world? I discuss a range of micro evidence, which finds that health is both human capital itself and an input to producing other forms of human capital. I use a standard model to integrate these results and suggest a reinterpretation of much of the micro literature. I then discuss the aggregate implications of micro estimates but note the complications in extrapolating to general equilibrium, especially because of health's effect on population size. I also review the macro evidence on this topic, which consists of either cross-country comparisons or measuring responses to health shocks. Micro estimates are one to two orders of magnitude smaller than the cross-country relationship but nevertheless imply high benefit-to-cost ratios from improving certain forms of health."
"Mark P. Keller, Alan D. Attie",Physiological Insights Gained from Gene Expression Analysis in Obesity and Diabetes,2010,Annual Review of Nutrition,Annual Reviews,"Microarray technology permits the interrogation of nearly all expressed genes under a wide range of conditions. Patterns of gene expression in response to obesity and diabetes have yielded important insights into the pathogenesis of diabetes and its relationship to obesity. In muscle, microarray studies have motivated research into mitochondrial function. In adipose tissue, clues have pointed to the importance of inflammation in obesity. New adipocyte-derived hormones involved in insulin resistance have been found; a notable example is retinol binding protein 4. In liver, genes responsive to master regulators of lipid metabolism have been identified. In ?-cells, genes involved in cell survival, cell proliferation, and insulin secretion have been identified. These studies have greatly expanded our understanding of mechanisms underlying the pathogenesis of obesity-induced diabetes. When combined with genetic information, microarray data can be used to construct causal network models linking gene expression with disease."
"Fred C. Pampel, Patrick M. Krueger, Justin T. Denney",Socioeconomic Disparities in Health Behaviors,2010,Annual Review of Sociology,Annual Reviews,"The inverse relationships between socioeconomic status (SES) and unhealthy behaviors such as tobacco use, physical inactivity, and poor nutrition have been well demonstrated empirically but encompass diverse underlying causal mechanisms. These mechanisms have special theoretical importance because disparities in health behaviors, unlike disparities in many other components of health, involve something more than the ability to use income to purchase good health. Based on a review of broad literatures in sociology, economics, and public health, we classify explanations of higher smoking, lower exercise, poorer diet, and excess weight among low-SES persons into nine broad groups that specify related but conceptually distinct mechanisms. The lack of clear support for any one explanation suggests that the literature on SES disparities in health and health behaviors can do more to design studies that better test for the importance of the varied mechanisms."
"Stefan Timmermans, Steven Epstein","The inverse relationships between socioeconomic status (SES) and unhealthy behaviors such as tobacco use, physical inactivity, and poor nutrition have been well demonstrated empirically but encompass diverse underlying causal mechanisms. These mechanisms have special theoretical importance because disparities in health behaviors, unlike disparities in many other components of health, involve something more than the ability to use income to purchase good health. Based on a review of broad literatures in sociology, economics, and public health, we classify explanations of higher smoking, lower exercise, poorer diet, and excess weight among low-SES persons into nine broad groups that specify related but conceptually distinct mechanisms. The lack of clear support for any one explanation suggests that the literature on SES disparities in health and health behaviors can do more to design studies that better test for the importance of the varied mechanisms.",2010,Annual Review of Sociology,Annual Reviews,"Standards and standardization aim to render the world equivalent across cultures, time, and geography. Standards are ubiquitous but underappreciated tools for regulating and organizing social life in modernity, and they lurk in the background of many sociological works. Reviewing the relevance of standards and standardization in diverse theoretical traditions and sociological subfields, we point to the emergence and institutionalization of standards, the difficulties of making standards work, resistance to standardization, and the multiple outcomes of standards. Rather than associating standardization with totalizing narratives of globalization or dehumanization, we call for careful empirical analysis of the specific and unintended consequences of different sorts of standards operating in distinct social domains."
"Pankaj Karande, Samir Mitragotri","Transcutaneous Immunization: An Overview of Advantages, Disease Targets, Vaccines, and Delivery Technologies",2010,Annual Review of Chemical and Biomolecular Engineering,Annual Reviews,"Skin is an immunologically active tissue composed of specialized cells and agents that capture and process antigens to confer immune protection. Transcutaneous immunization takes advantage of the skin immune network by inducing a protective immune response against topically applied antigens. This mode of vaccination presents a novel and attractive approach for needle-free immunization that is safe, noninvasive, and overcomes many of the limitations associated with needle-based administrations. In this review we will discuss the developments in the field of transcutaneous immunization in the past decade with special emphasis on disease targets and vaccine delivery technologies. We will also briefly discuss the challenges that need to be overcome to translate early laboratory successes in transcutaneous immunization into the development of effective clinical prophylactics."
"Michael W. Deem, Pooya Hejazi",Theoretical Aspects of Immunity,2010,Annual Review of Chemical and Biomolecular Engineering,Annual Reviews,"The immune system recognizes a myriad of invading pathogens and their toxic products. It does so with a finite repertoire of antibodies and T cell receptors. We here describe theories that quantify the dynamics of the immune system. We describe how the immune system recognizes antigens by searching the large space of receptor molecules. We consider in some detail the theories that quantify the immune response to influenza and dengue fever. We review theoretical descriptions of the complementary evolution of pathogens that occurs in response to immune system pressure. Methods including bioinformatics, molecular simulation, random energy models, and quantum field theory contribute to a theoretical understanding of aspects of immunity."
"Brid Cof fey, Susan Mills, Aidan Coffey, Olivia McAuliffe, R. Paul Ross",Phage and Their Lysins as Biocontrol Agents for Food Safety Applications,2010,Annual Review of Food Science and Technology,Annual Reviews,"Bacteriophage (phage) are bacterial viruses and are considered to be the most widely distributed and diverse natural biological entities. Soon after their discovery, bacteriophage were found to have antimicrobial properties that were exploited in many early anti-infection trials. However, the subsequent discovery of antibiotics led to a decline in the popularity of bacteriophage in much of the Western world, although work continued in the former Soviet Union and Eastern Europe. As a result of the emergence of antibiotic resistance in a number of bacterial pathogens, focus has been redirected back to bacteriophage and bacteriophage lysins as a means of pathogen control. Although bacteriophage have certain limitations, significant progress has been made toward their applications in food and has resulted in the U.S. Food and Drug Administration approving the use of a bacteriophage-based additive for the control of Listeria monocytogenes contamination. Furthermore, a number of animal studies have revealed the potential of bacteriophage for the control of various foodborne pathogens within the animal gastrointestinal tract and to subsequently decrease the likelihood of foodborne outbreaks. From a biopreservative perspective, phage have a number of key properties, including relative stability during storage, an ability to self-replicate, and a nontoxic nature. The purpose of this review is to highlight the recent developments in the use of phages and their lysins for biocontrol and to address their potential future applications."
"Michael M. Halassa, Philip G. Haydon",Integrated Brain Circuits: Astrocytic Networks Modulate Neuronal Activity and Behavior,2010,Annual Review of Physiology,Annual Reviews,"The past decade has seen an explosion of research on roles of neuron-astrocyte interactions in the control of brain function. We highlight recent studies performed on the tripartite synapse, the structure consisting of pre- and postsynaptic elements of the synapse and an associated astrocytic process. Astrocytes respond to neuronal activity and neurotransmitters, through the activation of metabotropic receptors, and can release the gliotransmitters ATP, d-serine, and glutamate, which act on neurons. Astrocyte-derived ATP modulates synaptic transmission, either directly or through its metabolic product adenosine. d-serine modulates NMDA receptor function, whereas glia-derived glutamate can play important roles in relapse following withdrawal from drugs of abuse. Cell type–specific molecular genetics has allowed a new level of examination of the function of astrocytes in brain function and has revealed an important role of these glial cells that is mediated by adenosine accumulation in the control of sleep and in cognitive impairments that follow sleep deprivation."
Michael Bader,Tissue Renin-Angiotensin-Aldosterone Systems: Targets for Pharmacological Therapy,2010,Annual Review of Pharmacology and Toxicology,Annual Reviews,"The renin-angiotensin-aldosterone system is one of the most important systems in cardiovascular control and in the pathogenesis of cardiovascular diseases. Therefore, it is already a very successful drug target for the therapy of these diseases. However, angiotensins are generated not only in the plasma but also locally in tissues from precursors and substrates either locally expressed or imported from the circulation. In most areas of the brain, only locally generated angiotensins can exert effects on their receptors owing to the blood-brain barrier. Other tissue renin-angiotensin-aldosterone systems are found in cardiovascular organs such as kidney, heart, and vessels and play important roles in the function of these organs and in the deleterious actions of hypertension and diabetes on these tissues. Novel components with mostly opposite actions to the classical renin-angiotensin-aldosterone systems have been described and need functional characterization to evaluate their suitability as novel drug targets."
William K. Reisen,Landscape Epidemiology of Vector-Borne Diseases,2010,Annual Review of Entomology,Annual Reviews,"Landscape epidemiology describes how the temporal dynamics of host, vector, and pathogen populations interact spatially within a permissive environment to enable transmission. The spatially defined focus, or nidus, of transmission may be characterized by vegetation as well as by climate, latitude, elevation, and geology. The ecological complexity, dimensions, and temporal stability of the nidus are determined largely by pathogen natural history and vector bionomics. Host populations, transmission efficiency, and therefore pathogen amplification vary spatially, thereby creating a heterogeneous surface that may be defined by remote sensing and statistical tools. The current review describes the evolution of landscape epidemiology as a science and exemplifies selected aspects by contrasting the ecology of two different recent disease outbreaks in North America caused by West Nile virus, an explosive, highly virulent mosquito-borne virus producing ephemeral nidi, and Borrelia burgdorferi, a slowly amplifying chronic pathogen producing semipermanent nidi."
Gregory D. Ebel,Update on Powassan Virus: Emergence of a North American Tick-Borne Flavivirus,2010,Annual Review of Entomology,Annual Reviews,"Powassan virus (POW) (Flaviviridae: Flavivirus) is the cause of rare but severe neuroinvasive disease in North America and Russia. The virus is transmitted among small- and medium-sized mammals by ixodid ticks. Human infections occur via spillover from the main transmission cycle(s). Since the late 1990s, the incidence of human disease seems to be increasing. In addition, POW constitutes a genetically diverse group of virus genotypes, including Deer tick virus, that are maintained in distinct enzootic transmission cycles. This review highlights recent research into POW, focusing on virus genetics and ecology and human disease. Important directions for future research are also discussed."
Mike W. Service,The Making of a Medical Entomologist,2010,Annual Review of Entomology,Annual Reviews,"This article describes the childhood of Mike Service, his very early interest in insects, his time at Imperial College, London University, and his career in Nigeria studying the taxonomy and biology of anopheline malaria vectors. On his return to England he became increasingly interested in the ecology and population dynamics of hematophagous insects. After almost eight years undertaking only research, he joined the Liverpool School of Tropical Medicine, where he was involved in lecturing as well as research and engaged in frequent overseas travel mainly to Africa, Central and South America, and Asia. On retirement he retains an active interest in medical entomology. Although he undertook a considerable amount of taxonomic work on mosquitoes, he believes his most important, and possibly influential, work was introducing ecological methods that were used by agricultural scientists to the study of mosquitoes. For example, the construction of life tables, calculating the percentage mortality of pre-adult mosquitoes, and the identification of predators by serological methods."
"Susan C. Su, Li-Huei Tsai",Cyclin-Dependent Kinases in Brain Development and Disease,2011,Annual Review of Cell and Developmental Biology,Annual Reviews,"Cyclin-dependent kinase 5 (Cdk5) is a multifaceted serine/threonine kinase protein with important roles in the nervous system. Two related proteins, p35 and p39, activate Cdk5 upon direct binding. Over the past decade, Cdk5 activity has been demonstrated to regulate many events during brain development, including neuronal migration as well as axon and dendrite development. Recent evidence also suggests a pivotal role for Cdk5 in synaptic plasticity, behavior, and cognition. Dysfunction of Cdk5 has been implicated in a number of neurological disorders and neurodegenerative diseases including Alzheimer's disease, amyotrophic lateral sclerosis, Niemann-Pick type C disease, and ischemia. Hyperactivation of Cdk5 due to the conversion of p35 to p25 by the calcium-dependent protease calpain during neurotoxicity also contributes to the pathological state. This review surveys recent literature surrounding Cdk5 in synaptic plasticity and homeostasis, with particular emphasis on Cdk5 kinase activity under neurodegenerative conditions."
"Maria Gloria Dominguez-Bello, Martin J. Blaser",The Human Microbiota as a Marker for Migrations of Individuals and Populations,2011,Annual Review of Anthropology,Annual Reviews,"In this review, we discuss evidence that the microbes that constitute the human microbiota coevolved with humans and maintain complex community and host interactions. Because these microbes are mostly vertically transmitted, they have evolved within each human group and provide a view of human ancestry. In particular, we discuss using Helicobacter pylori as a marker of ancestry and migrations. Other organisms with more mixed vertical and horizontal transmission are not suitable to trace migrations with any fidelity. Human mixing affects microbial phylogeographic signals, and lifestyles impact the human microbiome population structure. A decade after the human genome was sequenced, we are gaining insights into the population structure of the human microbiome. We also examine whether, rather than focus on the genetics of single microbial populations, a wider approach to the study of human ancestry based on the human microbiome is now possible."
"Vidya L. Atluri, Mariana N. Xavier, Maarten F. de Jong, Andreas B. den Hartigh, Renée M. Tsolis",Interactions of the Human Pathogenic Brucella Species with Their Hosts,2011,Annual Review of Microbiology,Annual Reviews,"Brucellosis is a zoonotic infection caused primarily by the bacterial pathogens Brucella melitensis and B. abortus. It is acquired by consumption of unpasteurized dairy products or by contact with infected animals. Globally, it is one of the most widespread zoonoses, with 500,000 new cases reported each year. In endemic areas, Brucella infections represent a serious public health problem that results in significant morbidity and economic losses. An important feature of the disease is persistent bacterial colonization of the reticuloendothelial system. In this review we discuss recent insights into mechanisms of intracellular survival and immune evasion that contribute to systemic persistence by the pathogenic Brucella species."
"Anders Omsland, Robert A. HeinzenRandy O. Frost, Gail Steketee, David F. Tolin",Life on the Outside: The Rescue of Coxiella burnetii from Its Host Cell,2011,Annual Review of Microbiology,Annual Reviews,"For over seven decades, Coxiella burnetii, the causative agent of human Q fever, has been considered a prototypical obligate intracellular bacterium that relies exclusively on a eukaryotic cell for growth. Intracellularly, the organism prospers in an acidified, phagolysosome-like vacuole. C. burnetii has evolved to replicate in this harsh compartment by a mechanism involving acid activation of metabolism. The ?2 Mb genome of C. burnetii is about twice the size of genomes of most obligate intracellular bacteria, and the organism's central metabolic pathways are largely intact. The absence of extensive genome reduction suggests the adaptation of C. burnetii to an obligate intracellular lifestyle is a recent evolutionary event. Indeed, insight from early work on C. burnetii metabolism, along with new information gained from metabolic pathway reconstructions, nutrient typing, and expression profiling, allowed the rescue of C. burnetii from its host cell to regain the axenic growth capacity of its ancestors. This advance removes the extensive experimental obstacles associated with intracellular obligatism and opens the door for a renaissance in C. burnetii research."
"Eckard Wimmer, Aniko V. Paul",Synthetic Poliovirus and Other Designer Viruses: What Have We Learned from Them?,2011,Annual Review of Microbiology,Annual Reviews,"Owing to known genome sequences, modern strategies of DNA synthesis have made it possible to recreate in principle all known viruses independent of natural templates. We describe the first synthesis of a virus (poliovirus) in 2002 that was accomplished outside living cells. We comment on the reaction of laypeople and scientists to the work, which shaped the response to de novo syntheses of other viruses. We discuss those viruses that have been synthesized since 2002, among them viruses whose precise genome sequence had to be established by painstakingly stitching together pieces of sequence information, and viruses involved in zoonosis. Synthesizing viral genomes provides a powerful tool for studying gene function and the pathogenic potential of these organisms. It also allows modification of viral genomes to an extent hitherto unthinkable. Recoding of poliovirus and influenza virus to develop new vaccine candidates and refactoring the phage T7 DNA genome are discussed as examples."
D. Scott Samuels,Gene Regulation in Borrelia burgdorferi,2011,Annual Review of Microbiology,Annual Reviews,"Borrelia burgdorferi, the spirochete that causes Lyme disease, is maintained in nature via an enzootic cycle that comprises a tick vector and a vertebrate host. Transmission from the tick to the mammal, acquisition from the mammal back to the tick, and adaptation to the two disparate environments require sensing signals and responding by regulating programs of gene expression. The molecular mechanisms utilized to effect these lifestyle changes have begun to be elucidated and feature an alternative sigma factor cascade in which RpoN (?54) and RpoS (?S) globally control the genes required for the different phases of the enzootic cycle. The RpoN-RpoS pathway is surprisingly complex, entailing Rrp2, an unusual enhancer-binding protein and two-component regulatory system response regulator activated by acetyl phosphate; BosR, an unorthodox DNA-binding protein; DsrABb, a small noncoding RNA; and Hfq and CsrA, two RNA-binding proteins. B. burgdorferi also has a c-di-GMP signaling system that regulates the tick side of the enzootic cycle and whose function is only beginning to be appreciated."
"Jessica Coria, Thomas Sterner",Natural Resource Management: Challenges and Policy Options,2011,Annual Review of Resource Economics,Annual Reviews,"Much of the improvement in living standards in developed and developing countries is attributable to the exploitation of nonrenewable and renewable resources. The problem is to know when the exploitation occurs at rates and with technologies that are sustainable. If the technologies used are not sustainable, resource exploitation presents a serious problem for the future because welfare will decrease. A long-term management perspective is needed to avoid irreversible degradation of renewable resources. This article examines major challenges to natural resource management as well as policy options."
"Colin A. Carter, Gordon C. Rausser, Aaron Smith",Commodity Booms and Busts,2011,Annual Review of Resource Economics,Annual Reviews,"Periodically, the global economy experiences great commodity booms and busts, characterized by a broad and sharp comovement of commodity prices. There have been two such episodes since the Korean War. The first event peaked in 1974 and the second in 2008, 34 years apart. Both created major economic and political shocks, including fallen governments and human suffering due to high food prices. Each occurrence raised serious concerns over food and energy security and led to more government intervention in the commodity markets. Although there is no simple explanation for what causes such complex events, they do share similar characteristics. We find at the core of these cycles a set of contemporaneous supply and demand surprises that coincided with low inventories and that were magnified by macroeconomic shocks and policy responses. In the next few decades, the world faces the prospect of continued increases in the demand for commodities and greater uncertainty about supply. However, because market participants are likely to respond by increasing inventory holdings and investing in new technologies, we see no reason to expect an increase in the frequency of dramatic commodity booms and busts."
"Gord Fishell, Bernardo Rudy",Mechanisms of Inhibition within the Telencephalon: “Where the Wild Things Are”,2011,Annual Review of Neuroscience,Annual Reviews,"In this review, we first provide a historical perspective of inhibitory signaling from the discovery of inhibition through to our present understanding of the diversity and mechanisms by which GABAergic interneuron populations function in different parts of the telencephalon. This is followed by a summary of the mechanisms of inhibition in the CNS. With this as a starting point, we provide an overview describing the variations in the subtypes and origins of inhibitory interneurons within the pallial and subpallial divisions of the telencephalon, with a focus on the hippocampus, somatosensory, paleo/piriform cortex, striatum, and various amygdala nuclei. Strikingly, we observe that marked variations exist in the origin and numerical balance between GABAergic interneurons and the principal cell populations in distinct regions of the telencephalon. Finally we speculate regarding the attractiveness and challenges of establishing a unifying nomenclature to describe inhibitory neuron diversity throughout the telencephalon."
"Cathrine Mihalopoulos, Theo Vos, Jane Pirkis, Rob Carter",The Economic Analysis of Prevention in Mental Health Programs,2011,Annual Review of Clinical Psychology,Annual Reviews,"This article introduces the role economics can play in deciding whether programs designed to prevent mental disorders, which carry large disease and economic burdens, are a worthwhile use of limited healthcare resources. Fortunately, preventive interventions for mental disorders exist; however, which interventions should be financed is a common issue facing decision makers, and economic evaluation can provide answers. Unfortunately, existing economic evaluations of preventive interventions have limited applicability to local healthcare contexts. An approach to priority setting largely based on economic techniques—Assessing Cost-Effectiveness (ACE)—has been developed and used in Australia to answer questions regarding the economic credentials of competing interventions. Eleven preventive interventions for mental disorders and suicide, mostly psychological in nature, have been evaluated using this approach, with many meeting the criteria of good value for money. Interventions targeting the prevention of suicide, adult and childhood depression, childhood anxiety, and early psychosis have particular merit."
"Margaret F. Gregor, Gökhan S. Hotamisligil",Inflammatory Mechanisms in Obesity,2011,Annual Review of Immunology,Annual Reviews,"The modern rise in obesity and its strong association with insulin resistance and type 2 diabetes have elicited interest in the underlying mechanisms of these pathologies. The discovery that obesity itself results in an inflammatory state in metabolic tissues ushered in a research field that examines the inflammatory mechanisms in obesity. Here, we summarize the unique features of this metabolic inflammatory state, termed metaflammation and defined as low-grade, chronic inflammation orchestrated by metabolic cells in response to excess nutrients and energy. We explore the effects of such inflammation in metabolic tissues including adipose, liver, muscle, pancreas, and brain and its contribution to insulin resistance and metabolic dysfunction. Another area in which many unknowns still exist is the origin or mechanism of initiation of inflammatory signaling in obesity. We discuss signals or triggers to the inflammatory response, including the possibility of endoplasmic reticulum stress as an important contributor to metaflammation. Finally, we examine anti-inflammatory therapies for their potential in the treatment of obesity-related insulin resistance and glucose intolerance."
"Valérie Abadie, Ludvig M. Sollid, Luis B. Barreiro, Bana Jabri",Integration of Genetic and Immunological Insights into a Model of Celiac Disease Pathogenesis,2011,Annual Review of Immunology,Annual Reviews,"Celiac disease (CD) is a gluten-sensitive enteropathy that develops in genetically susceptible individuals by exposure to cereal gluten proteins. This review integrates insights from immunological studies with results of recent genetic genome-wide association studies into a disease model. Genetic data, among others, suggest that viral infections are implicated and that natural killer effector pathways are important in the pathogenesis of CD, but most prominently these data converge with existing immunological findings that CD is primarily a T cell–mediated immune disorder in which CD4+ T cells that recognize gluten peptides in the context of major histocompatibility class II molecules play a central role. Comparison of genetic pathways as well as genetic susceptibility loci between CD and other autoimmune and inflammatory disorders reveals that CD bears stronger resemblance to T cell–mediated organ-specific autoimmune than to inflammatory diseases. Finally, we present evidence suggesting that the high prevalence of CD in modern societies may be the by-product of past selection for increased immune responses to combat infections in populations in which agriculture and cereals were introduced early on in the post-Neolithic period."
"Ling Li, Peter Rose, Philip K. Moore",Hydrogen Sulfide and Cell Signaling,2011,Annual Review of Pharmacology and Toxicology,Annual Reviews,"Hydrogen sulfide (H2S) is a gaseous mediator synthesized from cysteine by cystathionine ? lyase (CSE) and other naturally occurring enzymes. Pharmacological experiments using H2S donors and genetic experiments using CSE knockout mice suggest important roles for this vasodilator gas in the regulation of blood vessel caliber, cardiac response to ischemia/reperfusion injury, and inflammation. That H2S inhibits cytochrome c oxidase and reduces cell energy production has been known for many decades, but more recently, a number of additional pharmacological targets for this gas have been identified. H2S activates KATP and transient receptor potential (TRP) channels but usually inhibits big conductance Ca2+-sensitive K+ (BKCa) channels, T-type calcium channels, and M-type calcium channels. H2S may inhibit or activate NF-?B nuclear translocation while affecting the activity of numerous kinases including p38 mitogen-activated protein kinase (p38 MAPK), extracellular signal-regulated kinase (ERK), and Akt. These disparate effects may be secondary to the well-known reducing activity of H2S and/or its ability to promote sulfhydration of protein cysteine moieties within the cell."
"Marta Kutas, Kara D. Federmeier",Thirty Years and Counting: Finding Meaning in the N400 Component of the Event-Related Brain Potential (ERP),2011,Annual Review of Psychology,Annual Reviews,"We review the discovery, characterization, and evolving use of the N400, an event-related brain potential response linked to meaning processing. We describe the elicitation of N400s by an impressive range of stimulus types—including written, spoken, and signed words or pseudowords; drawings, photos, and videos of faces, objects, and actions; sounds; and mathematical symbols—and outline the sensitivity of N400 amplitude (as its latency is remarkably constant) to linguistic and nonlinguistic manipulations. We emphasize the effectiveness of the N400 as a dependent variable for examining almost every aspect of language processing and highlight its expanding use to probe semantic memory and to determine how the neurocognitive system dynamically and flexibly uses bottom-up and top-down information to make sense of the world. We conclude with different theories of the N400's functional significance and offer an N400-inspired reconceptualization of how meaning processing might unfold."
Philippe Brouqui,Arthropod-Borne Diseases Associated with Political and Social Disorder,2011,Annual Review of Entomology,Annual Reviews,"The living conditions and the crowded situations of the homeless, war refugees, or victims of a natural disaster provide ideal conditions for the spread of lice, fleas, ticks, flies and mites. The consequence of arthropod infestation in these situations is underestimated. Along with louse-borne infections such as typhus, trench fever, and relapsing fever, the relationship between Acinetobacter spp.–infected lice and bacteremia in the homeless is not clear. Murine typhus, tungiasis, and myiasis are likely underestimated, and there has been a reemergence of bed bugs. Attempted eradication of the body louse, despite specific measures, has been disappointing, and infections with Bartonella quintana continue to be reported. The efficacy of ivermectin in eradicating the human body louse, although the effect is not sustained, might provide new therapeutic approaches. Arthropod-borne diseases continue to emerge within the deprived population. Public health programs should be engaged rapidly to control these pests and reduce the incidence of these transmissible diseases."
"Peter H. Adler, Holly C. Tuten, Mark P. Nelder",Arthropods of Medicoveterinary Importance in Zoos,2011,Annual Review of Entomology,Annual Reviews,"Zoos present a unique assemblage of arthropods, captive vertebrates, free-roaming wildlife, humans, and plants, each with its own biota of symbiotic organisms. Arthropods of medicoveterinary importance are well represented in zoos, and an ample literature documents their influence in these animal-rich environments. Mosquitoes are of greatest significance because of the animal and human pathogens they transmit, followed by ectoparasites, many of which are exotic and present health risks to captive and native animals. Biting flies, cockroaches, filth flies, and triatomid bugs represent additional concerns. Integrated management programs for arthropods in zoos are commonplace. Zoos can play a role in biosurveillance, serving as an advanced guard for detecting exotic arthropods and vector-borne diseases. We provide the first review of arthropods of medicoveterinary importance in zoos. A case is made for the value of collaborations between entomologists and zoo personnel as a means of enhancing research and public education while safeguarding the health of captive animals and the public."
"Lars Eisen, Rebecca J. Eisen","Using Geographic Information Systems and Decision Support Systems for the Prediction, Prevention, and Control of Vector-Borne Diseases",2011,Annual Review of Entomology,Annual Reviews,"Emerging and resurging vector-borne diseases cause significant morbidity and mortality, especially in the developing world. We focus on how advances in mapping, Geographic Information System, and Decision Support System technologies, and progress in spatial and space-time modeling, can be harnessed to prevent and control these diseases. Major themes, which are addressed using examples from tick-borne Lyme borreliosis; flea-borne plague; and mosquito-borne dengue, malaria, and West Nile virus disease, include (a) selection of spatial and space-time modeling techniques, (b) importance of using high-quality and biologically or epidemiologically relevant data, (c) incorporation of new technologies into operational vector and disease control programs, (d) transfer of map-based information to stakeholders, and (e) adaptation of technology solutions for use in resource-poor environments. We see great potential for the use of new technologies and approaches to more effectively target limited surveillance, prevention, and control resources and to reduce vector-borne and other infectious diseases."
"Matthew D. Daugherty, Harmit S. Malik",Rules of Engagement: Molecular Insights from Host-Virus Arms Races,2012,Annual Review of Genetics,Annual Reviews,"Mammalian genes and genomes have been shaped by ancient and ongoing challenges from viruses. These genetic imprints can be identified via evolutionary analyses to reveal fundamental details about when (how old), where (which protein domains), and how (what are the functional consequences of adaptive changes) host-virus arms races alter the proteins involved. Just as extreme amino acid conservation can serve to identify key immutable residues in enzymes, positively selected residues point to molecular recognition interfaces between host and viral proteins that have adapted and counter-adapted in a long series of classical Red Queen conflicts. Common rules for the strategies employed by both hosts and viruses have emerged from case studies of innate immunity genes in primates. We are now poised to use these rules to transition from a retrospective view of host-virus arms races to specific predictions about which host genes face pathogen antagonism and how those genetic conflicts transform host and virus evolution."
