STUDY_ID,REVIEWERS,SCREEN1,SCREEN2,authors,title,year,journal,search,abstract
68,Joy,NO,NA,"Susan Bullman, Matthew Meyerson, Aleksandar D. Kostic",emerging concepts and technologies for the discovery of microorganisms involved in human disease,2017,Annual Review of Pathology: Mechanisms of Disease ,Annual Reviews,"Established infectious agents continue to be a major cause of human morbidity and mortality worldwide. However, the causative agent remains unknown for a wide range of diseases; many of these are suspected to be attributable to yet undiscovered microorganisms. The advent of unbiased high-throughput sequencing and bioinformatics has enabled rapid identification and molecular characterization of known and novel infectious agents in human disease. An exciting era of microbe discovery, now under way, holds great promise for the improvement of global health via the development of antimicrobial therapies, vaccination strategies, targeted public health measures, and probiotic-based preventions and therapies. Here, we review the history of pathogen discovery, discuss improvements and clinical applications for the detection of microbially associated diseases, and explore the challenges and strategies for establishing causation in human disease."
69,Joy,NO,NA,"Roger Y. Dodd , David A. Leiby ",emerging infectious threats to the blood supply,2004,Annual Review of Medicine,Annual Reviews,"During the past 15 years, it has become clear that new agents and new strains of existing agents continue to emerge worldwide as protagonists of infectious disease. These emerging agents pose threats not only to the general human population but also to recipients of blood transfusions. Indeed, the modern era of blood safety perhaps began with the recognition of HIV as an emerging agent transmissible by blood transfusion. Today, emerging infectious agents that pose a threat to the blood supply are not limited to viruses, but include bacterial, protozoan, and prion agents. Preventing the transmission of these new agents by blood transfusion is often problematic, as the available tools may be inadequate. It is certain, however, that new agents will continue to emerge as threats to blood safety and these agents are likely to require novel approaches to prevent their transmission."
70,Cecilia,YES,YES,"Samuel S. Myers, Jonathan A. Patz",emerging threats to human health from global environmental change,2009,Annual Review of Environment and Resources,Annual Reviews,"Large-scale anthropogenic changes to the natural environment, including land-use change, climate change, and the deterioration of ecosystem services, are all accelerating. These changes are interacting to generate five major emerging public health threats that endanger the health and well-being of hundreds of millions of people. These threats include increasing exposure to infectious disease, water scarcity, food scarcity, natural disasters, and population displacement. Taken together, they may represent the greatest public health challenge humanity has faced. There is an urgent need to improve our understanding of the dynamics of each of these threats: the complex interplay of factors that generate them, the characteristics of populations that make them particularly vulnerable, and the identification of which populations are at greatest risk from each of these threats. Such improved understanding would be the basis for stepped-up efforts at modeling and mapping global vulnerability to each of these threats. It would also help natural resource managers and policy makers to estimate the health impacts associated with their decisions and would allow aid organizations to target their resources more effectively."
71,Cecilia,NO,NA,"Boris D. Heifets, Pablo E. Castillo",endocannabinoid signaling and long-term synaptic plasticity,2009,Annual Review of Physiology,Annual Reviews,"Endocannabinoids (eCBs) are key activity-dependent signals regulating synaptic transmission throughout the central nervous system. Accordingly, eCBs are involved in neural functions ranging from feeding homeostasis to cognition. There is great interest in understanding how exogenous (e.g., cannabis) and endogenous cannabinoids affect behavior. Because behavioral adaptations are widely considered to rely on changes in synaptic strength, the prevalence of eCB-mediated long-term depression (eCB-LTD) at synapses throughout the brain merits close attention. The induction and expression of eCB-LTD, although remarkably similar at various synapses, are controlled by an array of regulatory influences that we are just beginning to uncover. This complexity endows eCB-LTD with important computational properties, such as coincidence detection and input specificity, critical for higher CNS functions like learning and memory. In this article, we review the major molecular and cellular mechanisms underlying eCB-LTD, as well as the potential physiological relevance of this widespread form of synaptic plasticity."
72,Joy,NO,NA,"Kelly Sims Gallagher, John P. Holdren, Ambuj D. Sagar",energy-technology innovation,2006,Annual Review of Environment and Resources,Annual Reviews,"Energy-technology innovation (ETI) is the set of processes leading to new or improved energy technologies that can augment energy resources; enhance the quality of energy services; and reduce the economic, environmental, or political costs associated with energy supply and use. Advances achieved through ETI have made large contributions to the improvement of the human condition over the past 100 years. Still more will be required of ETI during the decades ahead if civilization is to succeed in meeting what we believe are the three greatest energy challenges still before it: reducing dependence on oil, drastically upgrading the energy services provided to the world's poor, and providing the energy required to increase and sustain prosperity everywhere without wrecking the global climate with the emissions from fossil-fuel burning. This will require significant enhancements to ETI through deeper analysis of ETI processes, greater investments in ETI, improved innovation policies, and better coordination and partnerships across sectors and countries."
73,Joy,NO,NA,"Katharine Abernethy, Fiona Maisels, Lee J.T. White",environmental issues in central africa,2016,Annual Review of Environment and Resources,Annual Reviews,"The Central African forests, the planet's second largest rainforest block, are key to global environmental health. They influence climate change through their crucial role in carbon sinking and storage, affect weather patterns across Africa, and safeguard unique species and biodiverse communities. Their fate is important to everyone, not just today's inhabitants. The forests cover seven countries, and the differing socioeconomic histories and trajectories of these nations determine divergent fates for people, trees, and wildlife across the region. We review current knowledge of how the Central African forests have been shaped by climate and human activity within the region and assess how they may evolve under future climate change, population growth, and the Anthropocene race for wealth and energy. We highlight three different environmental trajectories for the countries of the region, identify key current regional issues that have an international dimension, and highlight five new points of future concern."
74,Joy,NO,NA,Robert Gifford,environmental psychology matters,2014,Annual Review of Psychology,Annual Reviews,"Environmental psychology examines transactions between individuals and their built and natural environments. This includes investigating behaviors that inhibit or foster sustainable, climate-healthy, and nature-enhancing choices, the antecedents and correlates of those behaviors, and interventions to increase proenvironmental behavior. It also includes transactions in which nature provides restoration or inflicts stress, and transactions that are more mutual, such as the development of place attachment and identity and the impacts on and from important physical settings such as home, workplaces, schools, and public spaces. As people spend more time in virtual environments, online transactions are coming under increasing research attention. Every aspect of human existence occurs in one environment or another, and the transactions with and within them have important consequences both for people and their natural and built worlds. Environmental psychology matters."
75,Joy,NO,NA,"Harini Sooryanarain, Subbiah Elankumaran",environmental role in influenza virus outbreaks,2015,Annual Review of Animal Biosciences,Annual Reviews,"The environmental drivers of influenza outbreaks are largely unknown. Despite more than 50 years of research, there are conflicting lines of evidence on the role of the environment in influenza A virus (IAV) survival, stability, and transmissibility. With the increasing and looming threat of pandemic influenza, it is important to understand these factors for early intervention and long-term control strategies. The factors that dictate the severity and spread of influenza would include the virus, natural and acquired hosts, virus-host interactions, environmental persistence, virus stability and transmissibility, and anthropogenic interventions. Virus persistence in different environments is subject to minor variations in temperature, humidity, pH, salinity, air pollution, and solar radiations. Seasonality of influenza is largely dictated by temperature and humidity, with cool-dry conditions enhancing IAV survival and transmissibility in temperate climates in high latitudes, whereas humid-rainy conditions favor outbreaks in low latitudes, as seen in tropical and subtropical zones. In mid-latitudes, semiannual outbreaks result from alternating cool-dry and humid-rainy conditions. The mechanism of virus survival in the cool-dry or humid-rainy conditions is largely determined by the presence of salts and proteins in the respiratory droplets. Social determinants of heath, including health equity, vaccine acceptance, and age-related illness, may play a role in influenza occurrence and spread."
76,Cecilia,NO,NA,"Antonio Barquilla, Elena B. Pasquale",eph receptors and ephrins: therapeutic opportunities,2015,Annual Review of Pharmacology and Toxicology,Annual Reviews,"The erythropoietin-producing hepatocellular carcinoma (Eph) receptor tyrosine kinase family plays important roles in developmental processes, adult tissue homeostasis, and various diseases. Interaction with Eph receptor-interacting protein (ephrin) ligands on the surface of neighboring cells triggers Eph receptor kinase–dependent signaling. The ephrins can also transmit signals, leading to bidirectional cell contact–dependent communication. Moreover, Eph receptors and ephrins can function independently of each other through interplay with other signaling systems. Given their involvement in many pathological conditions ranging from neurological disorders to cancer and viral infections, Eph receptors and ephrins are increasingly recognized as attractive therapeutic targets, and various strategies are being explored to modulate their expression and function. Eph receptor/ephrin upregulation in cancer cells, the angiogenic vasculature, and injured or diseased tissues also offer opportunities for Eph/ephrin-based targeted drug delivery and imaging. Thus, despite the challenges presented by the complex biology of the Eph receptor/ephrin system, exciting possibilities exist for therapies exploiting these molecules."
77,Joy,YES,NO,Sharon Abramowitz,epidemics (especially ebola),2017,Annual Review of Anthropology,Annual Reviews,"Anthropology's response to the West African Ebola epidemic was one of the most rapid and expansive anthropological interventions to a global health emergency in the discipline's history. This article sets forth the size and scale of the anthropological response and describes the protagonists, interventions, and priorities for anthropological engagement. It takes an inclusive approach to anthropological praxis by engaging with the work of nonanthropologist “allies,” including qualitative researchers, social workers, and allied experts. The article narrates how the concept of “anthropology” came to serve as a semantic marker of solidarity with local populations, respect for customary practices and local sociopolitical realities, and an avowed belief in the capacities of local populations to lead localized epidemic prevention and response efforts. Of particular consideration is the range of complementary and conflicting epistemological, professional, and critical engagements held by anthropologists. The article also discusses how to assess anthropological “impact” in epidemics."
78,Joy,NO,NA,"Christopher A. Gilligan, Frank van den Bosch",epidemiological models for invasion and persistence of pathogens,2008,Annual Review of Phytopathology,Annual Reviews,"Motivated by questions such as “Why do some diseases take off, while others die out?” and “How can we optimize the deployment of control methods,” we introduce simple epidemiological concepts for the invasion and persistence of plant pathogens. An overarching modeling framework is then presented that can be used to analyze disease invasion and persistence at a range of scales from the microscopic to the regional. Criteria for invasion and persistence are introduced, initially for simple models of epidemics, and then for models with greater biological realism. Some ways in which epidemiological models are used to identify optimal strategies for the control of disease are discussed. Particular attention is given to the spatial structure of host populations and to the role of chance events in determining invasion and persistence of plant pathogens. Finally, three brief case studies are used to illustrate the practical applications of epidemiological theory to understand invasion and persistence of plant pathogens. These comprise long-term predictions for the persistence and control of Dutch elm disease; identification of methods to manage the spread of rhizomania on sugar beet in the U.K. by matching the scale of control with the spatial and temporal scales of the disease; and analysis of evolutionary change in virus control to identify risks of inadvertent selection for damaging virus strains."
79,Joy,NO,NA,"M.L. Boisen, J.N. Hartnett, A. Goba, M.A. Vandi, D.S. Grant, J.S. Schieffelin, R.F. Garry, L.M. Branco",epidemiology and management of the 2013–16 west african ebola outbreak,2016,Annual Review of Virology,Annual Reviews,"The 2013–16 West African Ebola outbreak is the largest, most geographically dispersed, and deadliest on record, with 28,616 suspected cases and 11,310 deaths recorded to date in Guinea, Liberia, and Sierra Leone. We provide a review of the epidemiology and management of the 2013–16 Ebola outbreak in West Africa aimed at stimulating reflection on lessons learned that may improve the response to the next international health crisis caused by a pathogen that emerges in a region of the world with a severely limited health care infrastructure. Surveillance efforts employing rapid and effective point-of-care diagnostics designed for environments that lack advanced laboratory infrastructure will greatly aid in early detection and containment efforts during future outbreaks. Introduction of effective therapeutics and vaccines against Ebola into the public health system and the biodefense armamentarium is of the highest priority if future outbreaks are to be adequately managed and contained in a timely manner."
80,Joy,NO,NA,"Sanjay Basu, Ankita Meghani, Arjumand Siddiqi",evaluating the health impact of large-scale public policy changes: classical and novel approaches,2017,Annual Review of Public Health,Annual Reviews,"Large-scale public policy changes are often recommended to improve public health. Despite varying widely—from tobacco taxes to poverty-relief programs—such policies present a common dilemma to public health researchers: how to evaluate their health effects when randomized controlled trials are not possible. Here, we review the state of knowledge and experience of public health researchers who rigorously evaluate the health consequences of large-scale public policy changes. We organize our discussion by detailing approaches to address three common challenges of conducting policy evaluations: distinguishing a policy effect from time trends in health outcomes or preexisting differences between policy-affected and -unaffected communities (using difference-in-differences approaches); constructing a comparison population when a policy affects a population for whom a well-matched comparator is not immediately available (using propensity score or synthetic control approaches); and addressing unobserved confounders by utilizing quasi-random variations in policy exposure (using regression discontinuity, instrumental variables, or near-far matching approaches)."
81,Cecilia,NO,NA,"Edze R. Westra, Andrea J. Dowling, Jenny M. Broniewski, Stineke van Houte",evolution and ecology of crispr,2016,"Annual Review of Ecology, Evolution, and Systematics",Annual Reviews,"CRISPR (clustered regularly interspaced short palindromic repeats)-Cas (CRISPR-associated) systems are prokaryotic adaptive immune systems that provide protection against infection by parasitic mobile genetic elements, such as viruses and plasmids. CRISPR-Cas systems are found in approximately half of all sequenced bacterial genomes and in nearly all archaeal genomes. In this review, we summarize our current understanding of the evolutionary ecology of CRISPR-Cas systems, highlight their value as model systems to answer fundamental questions concerning host–parasite coevolution, and explain how CRISPR-Cas systems can be useful tools for scientists across virtually all disciplines."
82,Cecilia,NO,NA,Mark Achtman,evolution population structure and phylogeography of genetically monomorphic bacterial pathogens,2008,Annual Review of Microbiology,Annual Reviews,"Genetically monomorphic bacteria contain so little sequence diversity that sequencing a few gene fragments yields little or no information. As a result, our understanding of their evolutionary patterns presents greater technical challenges than exist for genetically diverse microbes. These challenges are now being met by analyses at the genomic level for diverse types of genetic variation, the most promising of which are single nucleotide polymorphisms. Many of the most virulent bacterial pathogens are genetically monomorphic, and understanding their evolutionary and phylogeographic patterns will help our understanding of the effects of infectious disease on human history."
83,Cecilia,NO,NA,Edward C. Holmes,evolutionary history and phylogeography of human viruses,2008,Annual Review of Microbiology,Annual Reviews,"Understanding the evolutionary history of human viruses, along with the factors that have shaped their spatial distributions, is one of the most active areas of study in the field of microbial evolution. I give an overview of our current knowledge of the genetic diversity of human viruses using comparative studies of viral populations, particularly those with RNA genomes, to highlight important generalities in the patterns and processes of viral evolution. Special emphasis is given to the major dichotomy between RNA and DNA viruses in their epidemiological dynamics and the different types of phylogeographic pattern exhibited by human viruses. I also consider a central paradox in studies of viral evolution: Although epidemiological theory predicts that RNA viruses have ancestries dating back millennia, with major ecological transitions facilitating their emergence, the genetic diversity in currently circulating viral populations has a far more recent ancestry, indicative of continual lineage turnover."
84,Cecilia,NO,NA,"Douglas Almond, Bhashkar Mazumder",fetal origins and parental responses,2013,Annual Review of Economics,Annual Reviews,"How do parental investments respond to health endowments at birth? Recent studies have combined insights from an earlier theoretical literature on household resource allocation with improved identification strategies to capture causal effects of early life health shocks. We describe empirical challenges in identifying behavioral responses and how recent studies have sought to address these. We then discuss the emerging literature on dynamic complementarities in parental investments arising from the staged, developmental nature of capability production and how capabilities may have multiple dimensions. The bulk of the empirical evidence to date suggests that parental investments reinforce initial endowment differences."
85,Joy,NO,NA,"Franklin Allen , Ana Babus , Elena Carletti",financial crises: theory and evidence,2009,Annual Review of Financial Economics,Annual Reviews,"Financial crises have occurred for many centuries. They are often preceded by a credit boom and a rise in real estate and other asset prices, as in the current crisis. They are also often associated with severe disruption in the real economy. This paper surveys the theoretical and empirical literature on crises. The first explanation of banking crises is that they are a panic. The second is that they are part of the business cycle. Modeling crises as a global game allows the two to be unified. With all the liquidity problems in interbank markets that have occurred during the current crisis, there is a growing literature on this topic. Perhaps the most serious market failure associated with crises is contagion, and there are many papers on this important topic. The relationship between asset price bubbles, particularly in real estate, and crises is discussed at length."
86,Cecilia,NO,NA,Maria T. Brandl,fitness of human enteric pathogens on plants and implications for food safety,2006,Annual Review of Phytopathology,Annual Reviews,"The continuous rise in the number of outbreaks of foodborne illness linked to fresh fruit and vegetables challenges the notion that enteric pathogens are defined mostly by their ability to colonize the intestinal habitat. This review describes the epidemiology of produce-associated outbreaks of foodborne disease and presents recently acquired knowledge about the behavior of enteric pathogens on plants, with an emphasis on Salmonella enterica, Escherichia coli O157:H7, and Listeria monocytogenes. The growth and survival of enteric pathogens on plants are discussed in the light of knowledge and concepts in plant microbial ecology, including epiphytic fitness, the physicochemical nature of plant surfaces, biofilm formation, and microbe-microbe and plant-microbe interactions. Information regarding the various stresses that affect the survival of enteric pathogens and the molecular events that underlie their interactions in the plant environment provides a good foundation for assessing their role in the infectious dose of the pathogens when contaminated fresh produce is the vehicle of illness."
87,Cecilia,NO,NA,"Anthony A. Braga, David L. Weisburd",focused deterrence and the prevention of violent gun injuries: practice theoretical principles and scientific evidence,2015,Annual Review of Public Health,Annual Reviews,"Focused deterrence strategies are a relatively new addition to a growing portfolio of evidence-based violent gun injury prevention practices available to policy makers and practitioners. These strategies seek to change offender behavior by understanding the underlying violence-producing dynamics and conditions that sustain recurring violent gun injury problems and by implementing a blended strategy of law enforcement, community mobilization, and social service actions. Consistent with documented public health practice, the focused deterrence approach identifies underlying risk factors and causes of recurring violent gun injury problems, develops tailored responses to these underlying conditions, and measures the impact of implemented interventions. This article reviews the practice, theoretical principles, and evaluation evidence on focused deterrence strategies. Although more rigorous randomized studies are needed, the available empirical evidence suggests that these strategies generate noteworthy gun violence reduction impacts and should be part of a broader portfolio of violence prevention strategies available to policy makers and practitioners."
88,Cecilia,NO,NA,"Ellen J. Van Loo, Walid Alali, Steven C. Ricke",food safety and organic meats,2012,Annual Review of Food Science and Technology,Annual Reviews,"The organic meat industry in the United States has grown substantially in the past decade in response to consumer demand for nonconventionally produced products. Consumers are often not aware that the United States Department of Agriculture (USDA) organic standards are based only on the methods used for production and processing of the product and not on the product's safety. Food safety hazards associated with organic meats remain unclear because of the limited research conducted to determine the safety of organic meat from farm-to-fork. The objective of this review is to provide an overview of the published results on the microbiological safety of organic meats. In addition, antimicrobial resistance of microbes in organic food animal production is addressed. Determining the food safety risks associated with organic meat production requires systematic longitudinal studies that quantify the risks of microbial and nonmicrobial hazards from farm-to-fork."
89,Joy,NO,NA,C.J. Peters,forty years with emerging viruses,2014,Annual Review of Virology,Annual Reviews,"I was raised in a middle-class family in West Texas and was lucky in my preparation through high school faculty, short government programs arising from the politics of Sputnik, inspiring high school mentors, and university training at a first-rate institution. My educational background led me to apply to medical school. With some financial aid, I managed to graduate and then obtain a first-class internal medicine residency at Parkland Hospital, where I acquired skills in discerning evaluation and treatment of patients with complicated diseases. In spite of a liking for and ability in clinical medicine, I entered the Public Health Service and worked for 5 years at the National Institutes of Health laboratory in Panama; there, I began to see the fascination of ecological impacts on virus transmission in nature and its spillover into human populations. I shifted my interests to these themes and their interaction with viral pathogenesis. At each stage of my career, I picked an institution to work where there were strong leaders and other inspiring scientists. I think the young scientist should choose the best available institution and one that offers a career direction that leads to a life where he or she awakens and cannot wait to arrive at his or her job—regardless of the details of each choice, the outcome will be a satisfied person who will contribute greatly to his or her chosen field."
90,Cecilia,NO,NA,"S.M. Vidal, D. Malo, J.-F. Marquis, P. Gros",forward genetic dissection of immunity to infection in the mouse,2008,Annual Review of Immunology,Annual Reviews,"Forward genetics is an experimental approach in which gene mapping and positional cloning are used to elucidate the molecular mechanisms underlying phenotypic differences between two individuals for a given trait. This strategy has been highly successful for the study of inbred mouse strains that show differences in innate susceptibility to bacterial, parasitic, fungal, and viral infections. Over the past 20 years, these studies have led to the identification of a number of cell populations and critical biochemical pathways and proteins that are essential for the early detection of and response to invading pathogens. Strikingly, the macrophage is the point of convergence for many of these genetic studies. This has led to the identification of diverse pathways involved in extracellular and intracellular pathogen recognition, modification of the properties and content of phagosomes, transcriptional response, and signal transduction for activation of adaptive immune mechanisms. In models of viral infections, elegant genetic studies highlighted the pivotal role of natural killer cells in the detection and destruction of infected cells."
91,Cecilia,NO,NA,"Molly K. McLendon, Michael A. Apicella, Lee-Ann H. Allen",francisella tularensis: taxonomy genetics and immunopathogenesis of a potential agent of biowarfare,2006,Annual Review of Microbiology,Annual Reviews,"Tularemia is a zoonosis of humans caused by infection with the facultative intracellular bacterium Francisella tularensis. Interest in F. tularensis has increased markedly in the past few years because of its potential use as an agent of bioterrorism. Five subspecies of this organism are found in the Northern hemisphere, but only F. tularensis subsp. tularensis and subsp. holarctica cause disease in humans. This review summarizes what is known about the pathogenesis of tularemia with a focus on bacterial surface components such as lipopolysaccharide and capsule as well as information obtained from the F. tularensis subsp. tularensis SCHU S4 genome. In particular, the mechanisms of action of recently identified virulence factors are discussed in the context of bacterial replication in macrophages and manipulation of the host inflammatory response. Throughout this report, shared and unique features of F. tularensis subsp. tularensis, subsp. holarctica, and subsp. novicida are discussed."
92,Cecilia,NO,NA,"Kathryn M. Orzech, Mark Nichter",from resilience to resistance: political ecological lessons from antibiotic and pesticide resistance,2008,Annual Review of Anthropology,Annual Reviews,"This article investigates the interplay of natural and human systems with reference to the growing global problem of antibiotic resistance. Among the diverse causes of antibiotic resistance, we focus broadly on three related causes: pharmaceutical practice and the liberal consumption of antibiotics, the use of antibiotic-containing products in the home, and the use of antibiotics in commercial animal husbandry and agriculture. We draw a parallel between pesticide and antibiotic resistance and examine whether lessons learned from one case may be applicable to the other. Although our main focus is a microecological analysis examining how humans are changing their environments, our conclusion addresses larger implications of this problem for global health. Through the theoretical lens of political ecology, we ask how we may address the “tragedy of the antibiotic commons” through public education and consumer activism as well as global health governance."
93,Cecilia,NO,NA,"Uwe Rudolph, Hanns Mohler",gabaa receptor subtypes: therapeutic potential in down syndrome affective disorders schizophrenia and autism,2014,Annual Review of Pharmacology and Toxicology,Annual Reviews,"The ?-aminobutyric acid (GABA) system plays a pivotal role in orchestrating the synchronicity of local networks and the functional coupling of different brain regions. Here we review the impact of the GABAA receptor subtypes on cognitive and emotional behavior, paying particular attention to five disease states: cognitive dysfunction and Down syndrome, anxiety disorders, depression, schizophrenia, and autism. Through the bidirectional modulation of tonic inhibition, ?5-subunit-containing GABAA receptors permit the bidirectional modulation of cognitive processes, and a partial inverse agonist acting at the ?5-subunit-containing GABAA receptor is in a clinical trial in individuals with Down syndrome. With regard to anxiety disorders, the viability of nonsedative anxiolytics based on the modulation of ?2- and ?3-subunit-containing GABAA receptors has been established in clinical proof-of-concept trials. Regarding the remaining three disease states, the GABA hypothesis of depression offers new options for antidepressant drug development; cognitive symptoms in schizophrenia are attributed to a cortical GABAergic deficit, and dysfunctional GABAergic inhibition is increasingly understood to contribute to the pathophysiology of autism spectrum disorders."
94,Joy,NO,NA,D. Scott Samuels,gene regulation in borrelia burgdorferi,2011,Annual Review of Microbiology,Annual Reviews,"Borrelia burgdorferi, the spirochete that causes Lyme disease, is maintained in nature via an enzootic cycle that comprises a tick vector and a vertebrate host. Transmission from the tick to the mammal, acquisition from the mammal back to the tick, and adaptation to the two disparate environments require sensing signals and responding by regulating programs of gene expression. The molecular mechanisms utilized to effect these lifestyle changes have begun to be elucidated and feature an alternative sigma factor cascade in which RpoN (?54) and RpoS (?S) globally control the genes required for the different phases of the enzootic cycle. The RpoN-RpoS pathway is surprisingly complex, entailing Rrp2, an unusual enhancer-binding protein and two-component regulatory system response regulator activated by acetyl phosphate; BosR, an unorthodox DNA-binding protein; DsrABb, a small noncoding RNA; and Hfq and CsrA, two RNA-binding proteins. B. burgdorferi also has a c-di-GMP signaling system that regulates the tick side of the enzootic cycle and whose function is only beginning to be appreciated."
95,Cecilia,NO,NA,"Lydia C. Garas, James D. Murray, Elizabeth A. Maga",genetically engineered livestock: ethical use for food and medical models,2015,Annual Review of Animal Biosciences,Annual Reviews,"Recent advances in the production of genetically engineered (GE) livestock have resulted in a variety of new transgenic animals with desirable production and composition changes. GE animals have been generated to improve growth efficiency, food composition, and disease resistance in domesticated livestock species. GE animals are also used to produce pharmaceuticals and as medical models for human diseases. The potential use of these food animals for human consumption has prompted an intense debate about food safety and animal welfare concerns with the GE approach. Additionally, public perception and ethical concerns about their use have caused delays in establishing a clear and efficient regulatory approval process. Ethically, there are far-reaching implications of not using genetically engineered livestock, at a detriment to both producers and consumers, as use of this technology can improve both human and animal health and welfare."
96,Joy,YES,NO,"Tommy T.-Y. Lam, Huachen Zhu, Yi Guan, Edward C. Holmes",genomic analysis of the emergence evolution and spread of human respiratory rna viruses,2016,Annual Review of Genomics and Human Genetics,Annual Reviews,"The emergence and reemergence of rapidly evolving RNA viruses—particularly those responsible for respiratory diseases, such as influenza viruses and coronaviruses—pose a significant threat to global health, including the potential of major pandemics. Importantly, recent advances in high-throughput genome sequencing enable researchers to reveal the genomic diversity of these viral pathogens at much lower cost and with much greater precision than they could before. In particular, the genome sequence data generated allow inferences to be made on the molecular basis of viral emergence, evolution, and spread in human populations in real time. In this review, we introduce recent computational methods that analyze viral genomic data, particularly in combination with metadata such as sampling time, geographic location, and virulence. We then outline the insights these analyses have provided into the fundamental patterns and processes of evolution and emergence in human respiratory RNA viruses, as well as the major challenges in such genomic analyses."
97,Cecilia,NO,NA,"Shirlee Wohl, Stephen F. Schaffner, Pardis C. Sabeti",genomic analysis of viral outbreaks,2016,Annual Review of Virology,Annual Reviews,"Genomic analysis is a powerful tool for understanding viral disease outbreaks. Sequencing of viral samples is now easier and cheaper than ever before and can supplement epidemiological methods by providing nucleotide-level resolution of outbreak-causing pathogens. In this review, we describe methods used to answer crucial questions about outbreaks, such as how they began and how a disease is transmitted. More specifically, we explain current techniques for viral sequencing, phylogenetic analysis, transmission reconstruction, and evolutionary investigation of viral pathogens. By detailing the ways in which genomic data can help us understand viral disease outbreaks, we aim to provide a resource that will facilitate the response to future outbreaks."
98,Cecilia,NO,NA,"Xiangyu Deng, Henk C. den Bakker, Rene S. Hendriksen",genomic epidemiology: whole-genome-sequencing–powered surveillance and outbreak investigation of foodborne bacterial pathogens,2016,Annual Review of Food Science and Technology,Annual Reviews,"As we are approaching the twentieth anniversary of PulseNet, a network of public health and regulatory laboratories that has changed the landscape of foodborne illness surveillance through molecular subtyping, public health microbiology is undergoing another transformation brought about by so-called next-generation sequencing (NGS) technologies that have made whole-genome sequencing (WGS) of foodborne bacterial pathogens a realistic and superior alternative to traditional subtyping methods. Routine, real-time, and widespread application of WGS in food safety and public health is on the horizon. Technological, operational, and policy challenges are still present and being addressed by an international and multidisciplinary community of researchers, public health practitioners, and other stakeholders."
99,Joy,NO,NA,"J. Ross Fitzgerald, Matthew T.G. Holden",genomics of natural populations of staphylococcus aureus,2016,Annual Review of Microbiology,Annual Reviews,"Staphylococcus aureus is a major human pathogen and an important cause of livestock infections. The first S. aureus genomes to be published, 15 years ago, provided the first view of genome structure and gene content. Since then, thousands of genomes from a wide array of strains from different sources have been sequenced. Comparison of these sequences has resulted in broad insights into population structure, bacterial evolution, clone emergence and expansion, and the molecular basis of niche adaptation. Furthermore, this information is now being applied clinically in outbreak investigations to inform infection control measures and to determine appropriate treatment regimens. In this review, we summarize some of the broad insights into S. aureus biology gained from the analysis of genomes and discuss future directions and opportunities in this dynamic field of research."
100,Joy,NO,NA,"Ann Harrison, Leslie A. Martin, Shanthi Nataraj",green industrial policy in emerging markets,2017,Annual Review of Resource Economics ,Annual Reviews,"In this review, we discuss the challenges and opportunities associated with implementing green industrial policy in developing countries. These policies promote industries that produce green technologies and encourage traditional industries to produce goods and services in greener ways. We describe the experience in some emerging markets of voluntary programs to reduce emissions. Contrasting India and China's efforts to promote their solar photovoltaic industries, we also discuss the relative efficiency of promoting deployment versus promoting R&D. We also warn against expecting too much from policies that encourage renewables while governments simultaneously subsidize fossil fuels. The review discusses the potential of hybrid policies that combine command-and-control regulations targeted at the intensive margin for the largest polluters with market-based incentives that widen the reach of environmental regulations. We conclude with a discussion of how dismantling tariffs and facilitating foreign direct investment, ostensibly for nonenvironmental reasons, can have important environmental consequences."
101,Cecilia,NO,NA,Peter Henry Huang,happiness studies and legal policy,2010,Annual Review of Law and Social Science,Annual Reviews,"Social scientists have conducted numerous empirical and experimental studies of self-reported happiness. This review focuses on two fundamental areas of research in happiness and law, namely alternative measures of happiness and various policies to foster happiness. There are many aspects, concepts, dimensions, and visions of happiness. Empirical findings often depend critically on which particular measure of happiness is analyzed. Happiness studies have applications to national well-being indices; policy evaluation; civil judicial and jury decision making about liability and damages in cases of sexual harassment, employment discrimination, and torts; optimal tax law design; family law; criminal sentencing; legal education; and legal practice. There are decision-making, health, productivity, and psychological benefits to various types of happiness. There are more or less paternalistic happiness interventions, including policies to encourage regular physical exercise, good sleep, and meditation. Hopefully, analysis of these topics offers exemplars of possibilities and limits to utilizing happiness studies in designing legal policy."
102,Cecilia,NO,NA,"Alice Chen, Dana Goldman",health care spending: historical trends and new directions,2016,Annual Review of Economics,Annual Reviews,"Over the past five decades, broad changes in the US health care system have dramatically influenced growth in health care expenditures. This review identifies the salient factors driving the growth of medical expenditures and how they influenced the trajectory of health economics research. We find that the research identified—and was strongly influenced by—four eras of expenditure growth: period 1, coverage expansion; period 2, experimentation with financial incentives; period 3, the managed care backlash; and period 4, a golden era of declining expenditure growth. We conclude by discussing some themes from this research suggesting optimism that, going forward, we can curb excess expenditure growth above GDP growth without harming population health."
