Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
Severe acute respiratory syndrome (SARS): a year in review.,/pubmed/15660517,"Skowronski DM, Astell C, Brunham RC, Low DE, Petric M, Roper RL, Talbot PJ, Tam T, Babiuk L.",Annu Rev Med. 2005;56:357-81. Review.,Annu Rev Med.  2005,PubMed,citation,PMID:15660517,pubmed,15660517,create date:2005/01/22 | first author:Skowronski DM
Wildlife as source of zoonotic infections.,/pubmed/15663840,"Kruse H, kirkemo AM, Handeland K.",Emerg Infect Dis. 2004 Dec;10(12):2067-72. Review.,Emerg Infect Dis.  2004,PubMed,citation,PMID:15663840 | PMCID:PMC3323390,pubmed,15663840,create date:2005/01/25 | first author:Kruse H
An unusual neonatal zoonosis.,/pubmed/15698362,"Best EJ, Lahra MM, Palasanthiran P.",Med J Aust. 2005 Feb 7;182(3):137. Review. No abstract available. ,Med J Aust.  2005,PubMed,citation,PMID:15698362,pubmed,15698362,create date:2005/02/09 | first author:Best EJ
Antimicrobial resistance in zoonotic enteric pathogens.,/pubmed/15702715,"Angulo FJ, Nunnery JA, Bair HD.",Rev Sci Tech. 2004 Aug;23(2):485-96. Review.,Rev Sci Tech.  2004,PubMed,citation,PMID:15702715,pubmed,15702715,create date:2005/02/11 | first author:Angulo FJ
The role of wildlife in emerging and re-emerging zoonoses.,/pubmed/15702716,"Bengis RG, Leighton FA, Fischer JR, Artois M, Mörner T, Tate CM.",Rev Sci Tech. 2004 Aug;23(2):497-511. Review.,Rev Sci Tech.  2004,PubMed,citation,PMID:15702716,pubmed,15702716,create date:2005/02/11 | first author:Bengis RG
Emerging zoonoses and pathogens of public health significance--an overview.,/pubmed/15702711,Brown C.,Rev Sci Tech. 2004 Aug;23(2):435-42. Review.,Rev Sci Tech.  2004,PubMed,citation,PMID:15702711,pubmed,15702711,create date:2005/02/11 | first author:Brown C
"Epidemiological processes involved in the emergence of vector-borne diseases: West Nile fever, Rift Valley fever, Japanese encephalitis and Crimean-Congo haemorrhagic fever.",/pubmed/15702718,"Chevalier V, de la Rocque S, Baldet T, Vial L, Roger F.",Rev Sci Tech. 2004 Aug;23(2):535-55. Review.,Rev Sci Tech.  2004,PubMed,citation,PMID:15702718,pubmed,15702718,create date:2005/02/11 | first author:Chevalier V
Rabies and rabies-related viruses: a modern perspective on an ancient disease.,/pubmed/15702724,"Cliquet F, Picard-Meyer E.",Rev Sci Tech. 2004 Aug;23(2):625-42. Review.,Rev Sci Tech.  2004,PubMed,citation,PMID:15702724,pubmed,15702724,create date:2005/02/11 | first author:Cliquet F
Food safety and animal production systems: controlling zoonoses at farm level.,/pubmed/15702728,"Collins JD, Wall PG.",Rev Sci Tech. 2004 Aug;23(2):685-700. Review.,Rev Sci Tech.  2004,PubMed,citation,PMID:15702728,pubmed,15702728,create date:2005/02/11 | first author:Collins JD
Rift Valley fever.,/pubmed/15702723,Gerdes GH.,Rev Sci Tech. 2004 Aug;23(2):613-23. Review.,Rev Sci Tech.  2004,PubMed,citation,PMID:15702723,pubmed,15702723,create date:2005/02/11 | first author:Gerdes GH
West Nile virus and North America: an unfolding story.,/pubmed/15702719,Glaser A.,Rev Sci Tech. 2004 Aug;23(2):557-68. Review.,Rev Sci Tech.  2004,PubMed,citation,PMID:15702719,pubmed,15702719,create date:2005/02/11 | first author:Glaser A
"Emerging or re-emerging bacterial zoonotic diseases: bartonellosis, leptospirosis, Lyme borreliosis, plague.",/pubmed/15702720,Higgins R.,Rev Sci Tech. 2004 Aug;23(2):569-81. Review.,Rev Sci Tech.  2004,PubMed,citation,PMID:15702720,pubmed,15702720,create date:2005/02/11 | first author:Higgins R
New partnerships between animal health services and public health agencies.,/pubmed/15702731,"King LJ, Marano N, Hughes JM.",Rev Sci Tech. 2004 Aug;23(2):717-25. Review.,Rev Sci Tech.  2004,PubMed,citation,PMID:15702731,pubmed,15702731,create date:2005/02/11 | first author:King LJ
Food systems and the changing patterns of foodborne zoonoses.,/pubmed/15702727,"MacKenzie AA, Allard DG, Perez E, Hathaway S.",Rev Sci Tech. 2004 Aug;23(2):677-84. Review.,Rev Sci Tech.  2004,PubMed,citation,PMID:15702727,pubmed,15702727,create date:2005/02/11 | first author:MacKenzie AA
Factors and determinants of disease emergence.,/pubmed/15702712,Morse SS.,Rev Sci Tech. 2004 Aug;23(2):443-51. Review.,Rev Sci Tech.  2004,PubMed,citation,PMID:15702712,pubmed,15702712,create date:2005/02/11 | first author:Morse SS
Animal coronaviruses: what can they teach us about the severe acute respiratory syndrome?,/pubmed/15702725,Saif LJ.,Rev Sci Tech. 2004 Aug;23(2):643-60. Review.,Rev Sci Tech.  2004,PubMed,citation,PMID:15702725,pubmed,15702725,create date:2005/02/11 | first author:Saif LJ
Emerging food-borne zoonoses.,/pubmed/15702717,"Schlundt J, Toyofuku H, Jansen J, Herbst SA.",Rev Sci Tech. 2004 Aug;23(2):513-33. Review.,Rev Sci Tech.  2004,PubMed,citation,PMID:15702717,pubmed,15702717,create date:2005/02/11 | first author:Schlundt J
Ecological sources of zoonotic diseases.,/pubmed/15702714,"Slingenbergh JI, Gilbert M, de Balogh KI, Wint W.",Rev Sci Tech. 2004 Aug;23(2):467-84. Review.,Rev Sci Tech.  2004,PubMed,citation,PMID:15702714,pubmed,15702714,create date:2005/02/11 | first author:Slingenbergh JI
Microbial adaptation and change: avian influenza.,/pubmed/15702713,"Webster RG, Hulse DJ.",Rev Sci Tech. 2004 Aug;23(2):453-65. Review.,Rev Sci Tech.  2004,PubMed,citation,PMID:15702713,pubmed,15702713,create date:2005/02/11 | first author:Webster RG
Hedgehog zoonoses.,/pubmed/15705314,"Riley PY, Chomel BB.",Emerg Infect Dis. 2005 Jan;11(1):1-5. Review.,Emerg Infect Dis.  2005,PubMed,citation,PMID:15705314 | PMCID:PMC3294334,pubmed,15705314,create date:2005/02/12 | first author:Riley PY
Immune problems in central nervous system cell therapy.,/pubmed/15717048,"Barker RA, Widner H.",NeuroRx. 2004 Oct;1(4):472-81. Review.,NeuroRx.  2004,PubMed,citation,PMID:15717048 | PMCID:PMC534953,pubmed,15717048,create date:2005/02/18 | first author:Barker RA
Recent trends in molecular diagnostics for Toxoplasma gondii infections.,/pubmed/15715713,"Switaj K, Master A, Skrzypczak M, Zaborowski P.",Clin Microbiol Infect. 2005 Mar;11(3):170-6. Review.,Clin Microbiol Infect.  2005,PubMed,citation,PMID:15715713,pubmed,15715713,create date:2005/02/18 | first author:Switaj K
"Newer respiratory virus infections: human metapneumovirus, avian influenza virus, and human coronaviruses.",/pubmed/15735418,"Fouchier RA, Rimmelzwaan GF, Kuiken T, Osterhaus AD.",Curr Opin Infect Dis. 2005 Apr;18(2):141-6. Review.,Curr Opin Infect Dis.  2005,PubMed,citation,PMID:15735418,pubmed,15735418,create date:2005/03/01 | first author:Fouchier RA
Portrait of the national veterinary service as a surveillance continuum.,/pubmed/15737425,Kellar JA.,Prev Vet Med. 2005 Feb;67(2-3):109-15. Epub 2005 Jan 16. Review.,Prev Vet Med.  2005,PubMed,citation,PMID:15737425,pubmed,15737425,create date:2005/03/02 | first author:Kellar JA
Poxvirus tropism.,/pubmed/15738948,McFadden G.,Nat Rev Microbiol. 2005 Mar;3(3):201-13. Review.,Nat Rev Microbiol.  2005,PubMed,citation,PMID:15738948 | PMCID:PMC4382915,pubmed,15738948,create date:2005/03/02 | first author:McFadden G
Perspectives for rabies control and eradication from domestic species in developing countries.,/pubmed/15742630,Larghi OP.,Dev Biol (Basel). 2004;119:205-12. Review. No abstract available. ,Dev Biol (Basel).  2004,PubMed,citation,PMID:15742630,pubmed,15742630,create date:2005/03/04 | first author:Larghi OP
Veterinary vaccines for animal and public health.,/pubmed/15742615,"Pastoret PP, Jones P.",Dev Biol (Basel). 2004;119:15-29. Review.,Dev Biol (Basel).  2004,PubMed,citation,PMID:15742615,pubmed,15742615,create date:2005/03/04 | first author:Pastoret PP
Oral vaccination of wildlife against rabies: opportunities and challenges in prevention and control.,/pubmed/15742629,"Rupprecht CE, Hanlon CA, Slate D.",Dev Biol (Basel). 2004;119:173-84. Review.,Dev Biol (Basel).  2004,PubMed,citation,PMID:15742629,pubmed,15742629,create date:2005/03/04 | first author:Rupprecht CE
Animal coronavirus vaccines: lessons for SARS.,/pubmed/15742624,Saif LJ.,Dev Biol (Basel). 2004;119:129-40. Review.,Dev Biol (Basel).  2004,PubMed,citation,PMID:15742624,pubmed,15742624,create date:2005/03/04 | first author:Saif LJ
"Vaccination against salmonella, enterohaemorrhagic E. coli and Campylobacter in food-producing animals.",/pubmed/15742645,Wallis TS.,Dev Biol (Basel). 2004;119:343-50. Review.,Dev Biol (Basel).  2004,PubMed,citation,PMID:15742645,pubmed,15742645,create date:2005/03/04 | first author:Wallis TS
New ecological aspects of hantavirus infection: a change of a paradigm and a challenge of prevention--a review.,/pubmed/15744574,"Zeier M, Handermann M, Bahr U, Rensch B, Müller S, Kehm R, Muranyi W, Darai G.",Virus Genes. 2005 Mar;30(2):157-80. Review.,Virus Genes.  2005,PubMed,citation,PMID:15744574,pubmed,15744574,create date:2005/03/04 | first author:Zeier M
Elimination of terrestrial rabies in Western European countries.,/pubmed/15747421,"Cliquet F, Aubert M.",Dev Biol (Basel). 2004;119:185-204. Review.,Dev Biol (Basel).  2004,PubMed,citation,PMID:15747421,pubmed,15747421,create date:2005/03/08 | first author:Cliquet F
"Recent advances in research and control of malaria, leishmaniasis, trypanosomiasis and schistosomiasis.",/pubmed/15748049,"Croft SL, Vivas L, Brooker S.",East Mediterr Health J. 2003 Jul;9(4):518-33. Review.,East Mediterr Health J.  2003,PubMed,citation,PMID:15748049,pubmed,15748049,create date:2005/03/08 | first author:Croft SL
Hydatid disease: vaccinology and development of the EG95 recombinant vaccine.,/pubmed/15757477,"Gauci C, Heath D, Chow C, Lightowlers MW.",Expert Rev Vaccines. 2005 Feb;4(1):103-12. Review.,Expert Rev Vaccines.  2005,PubMed,citation,PMID:15757477,pubmed,15757477,create date:2005/03/11 | first author:Gauci C
The public health impact of prion diseases.,/pubmed/15760286,"Belay ED, Schonberger LB.",Annu Rev Public Health. 2005;26:191-212. Review.,Annu Rev Public Health.  2005,PubMed,citation,PMID:15760286,pubmed,15760286,create date:2005/03/12 | first author:Belay ED
Hendra and Nipah viruses: new zoonotically-acquired human pathogens.,/pubmed/15763222,McCormack JG.,Respir Care Clin N Am. 2005 Mar;11(1):59-66. Review.,Respir Care Clin N Am.  2005,PubMed,citation,PMID:15763222,pubmed,15763222,create date:2005/03/15 | first author:McCormack JG
Transmission of infectious diseases during commercial air travel.,/pubmed/15767002,"Mangili A, Gendreau MA.",Lancet. 2005 Mar 12-18;365(9463):989-96. Review.,Lancet.  2005,PubMed,citation,PMID:15767002,pubmed,15767002,create date:2005/03/16 | first author:Mangili A
Microsporidiosis: an emerging and opportunistic infection in humans and animals.,/pubmed/15777637,Didier ES.,Acta Trop. 2005 Apr;94(1):61-76. Review.,Acta Trop.  2005,PubMed,citation,PMID:15777637,pubmed,15777637,create date:2005/03/22 | first author:Didier ES
Amino acid metabolic routes in Trypanosoma cruzi: possible therapeutic targets against Chagas' disease.,/pubmed/15777198,"Silber AM, Colli W, Ulrich H, Alves MJ, Pereira CA.",Curr Drug Targets Infect Disord. 2005 Mar;5(1):53-64. Review.,Curr Drug Targets Infect Disord.  2005,PubMed,citation,PMID:15777198,pubmed,15777198,create date:2005/03/22 | first author:Silber AM
Babesia sp.: emerging intracellular parasites in Europe.,/pubmed/15787198,Gray JS.,Pol J Microbiol. 2004;53 Suppl:55-60. Review.,Pol J Microbiol.  2004,PubMed,citation,PMID:15787198,pubmed,15787198,create date:2005/03/25 | first author:Gray JS
Zoonotic reservoir of Babesia microti in Poland.,/pubmed/15787199,Karbowiak G.,Pol J Microbiol. 2004;53 Suppl:61-5. Review.,Pol J Microbiol.  2004,PubMed,citation,PMID:15787199,pubmed,15787199,create date:2005/03/25 | first author:Karbowiak G
Natural history and pathophysiology of Q fever.,/pubmed/15792739,"Raoult D, Marrie T, Mege J.",Lancet Infect Dis. 2005 Apr;5(4):219-26. Review.,Lancet Infect Dis.  2005,PubMed,citation,PMID:15792739,pubmed,15792739,create date:2005/03/29 | first author:Raoult D
MHC polymorphism: AIDS susceptibility in non-human primates.,/pubmed/15797514,"Bontrop RE, Watkins DI.",Trends Immunol. 2005 Apr;26(4):227-33. Review.,Trends Immunol.  2005,PubMed,citation,PMID:15797514,pubmed,15797514,create date:2005/03/31 | first author:Bontrop RE
"Impact of genetic diversity of HIV-1 on diagnosis, antiretroviral therapy & vaccine development.",/pubmed/15817945,"Lal RB, Chakrabarti S, Yang C.",Indian J Med Res. 2005 Apr;121(4):287-314. Review.,Indian J Med Res.  2005,PubMed,citation,PMID:15817945,pubmed,15817945,create date:2005/04/09 | first author:Lal RB
Gnathostomiasis: a review of a previously localized zoonosis now crossing numerous geographical boundaries.,/pubmed/15825144,Ligon BL.,Semin Pediatr Infect Dis. 2005 Apr;16(2):137-43. Review.,Semin Pediatr Infect Dis.  2005,PubMed,citation,PMID:15825144,pubmed,15825144,create date:2005/04/13 | first author:Ligon BL
"Primary conjunctival sporotrichosis: two cases from a zoonotic epidemic in Rio de Janeiro, Brazil.",/pubmed/15829813,"Schubach A, de Lima Barros MB, Schubach TM, Francesconi-do-Valle AC, Gutierrez-Galhardo MC, Sued M, de Matos Salgueiro M, Fialho-Monteiro PC, Reis RS, Marzochi KB, Wanke B, Conceição-Silva F.",Cornea. 2005 May;24(4):491-3. Review.,Cornea.  2005,PubMed,citation,PMID:15829813,pubmed,15829813,create date:2005/04/15 | first author:Schubach A
Parasitic zoonoses in Papua New Guinea.,/pubmed/15831107,Owen IL.,J Helminthol. 2005 Mar;79(1):1-14. Review.,J Helminthol.  2005,PubMed,citation,PMID:15831107,pubmed,15831107,create date:2005/04/16 | first author:Owen IL
Is Q fever an emerging or re-emerging zoonosis?,/pubmed/15845229,"Arricau-Bouvery N, Rodolakis A.",Vet Res. 2005 May-Jun;36(3):327-49. Review.,Vet Res.  2005,PubMed,citation,PMID:15845229,pubmed,15845229,create date:2005/04/23 | first author:Arricau-Bouvery N
Zoonotic aspects of Mycobacterium bovis and Mycobacterium avium-intracellulare complex (MAC).,/pubmed/15845232,"Biet F, Boschiroli ML, Thorel MF, Guilloteau LA.",Vet Res. 2005 May-Jun;36(3):411-36. Review.,Vet Res.  2005,PubMed,citation,PMID:15845232,pubmed,15845232,create date:2005/04/23 | first author:Biet F
"Emerging or re-emerging bacterial zoonoses: factors of emergence, surveillance and control.",/pubmed/15845237,"Blancou J, Chomel BB, Belotto A, Meslin FX.",Vet Res. 2005 May-Jun;36(3):507-22. Review.,Vet Res.  2005,PubMed,citation,PMID:15845237,pubmed,15845237,create date:2005/04/23 | first author:Blancou J
Factors associated with the rapid emergence of zoonotic Bartonella infections.,/pubmed/15845231,"Boulouis HJ, Chang CC, Henn JB, Kasten RW, Chomel BB.",Vet Res. 2005 May-Jun;36(3):383-410. Review.,Vet Res.  2005,PubMed,citation,PMID:15845231,pubmed,15845231,create date:2005/04/23 | first author:Boulouis HJ
Enterohaemorrhagic Escherichia coli: emerging issues on virulence and modes of transmission.,/pubmed/15845227,"Caprioli A, Morabito S, Brugère H, Oswald E.",Vet Res. 2005 May-Jun;36(3):289-311. Review.,Vet Res.  2005,PubMed,citation,PMID:15845227,pubmed,15845227,create date:2005/04/23 | first author:Caprioli A
"From the discovery of the Malta fever's agent to the discovery of a marine mammal reservoir, brucellosis has continuously been a re-emerging zoonosis.",/pubmed/15845228,"Godfroid J, Cloeckaert A, Liautard JP, Kohler S, Fretin D, Walravens K, Garin-Bastuji B, Letesson JJ.",Vet Res. 2005 May-Jun;36(3):313-26. Review.,Vet Res.  2005,PubMed,citation,PMID:15845228,pubmed,15845228,create date:2005/04/23 | first author:Godfroid J
Campylobacter.,/pubmed/15845230,"Moore JE, Corcoran D, Dooley JS, Fanning S, Lucey B, Matsuda M, McDowell DA, Mégraud F, Millar BC, O'Mahony R, O'Riordan L, O'Rourke M, Rao JR, Rooney PJ, Sails A, Whyte P.",Vet Res. 2005 May-Jun;36(3):351-82. Review.,Vet Res.  2005,PubMed,citation,PMID:15845230,pubmed,15845230,create date:2005/04/23 | first author:Moore JE
Tick- and flea-borne rickettsial emerging zoonoses.,/pubmed/15845235,"Parola P, Davoust B, Raoult D.",Vet Res. 2005 May-Jun;36(3):469-92. Review.,Vet Res.  2005,PubMed,citation,PMID:15845235,pubmed,15845235,create date:2005/04/23 | first author:Parola P
Tularemia: emergence/re-emergence.,/pubmed/15845234,"Petersen JM, Schriefer ME.",Vet Res. 2005 May-Jun;36(3):455-67. Review.,Vet Res.  2005,PubMed,citation,PMID:15845234,pubmed,15845234,create date:2005/04/23 | first author:Petersen JM
Important emerging bacterial zoonotic infections affecting the immunocompromised.,/pubmed/15845236,"Trevejo RT, Barr MC, Robinson RA.",Vet Res. 2005 May-Jun;36(3):493-506. Review.,Vet Res.  2005,PubMed,citation,PMID:15845236,pubmed,15845236,create date:2005/04/23 | first author:Trevejo RT
Tularemia in a kidney transplant recipient: an unsuspected case and literature review.,/pubmed/15861359,"Khoury JA, Bohl DL, Hersh MJ, Argoudelis AC, Brennan DC.",Am J Kidney Dis. 2005 May;45(5):926-9. Review.,Am J Kidney Dis.  2005,PubMed,citation,PMID:15861359,pubmed,15861359,create date:2005/04/30 | first author:Khoury JA
Human infections with avian influenza viruses.,/pubmed/15869106,"Joseph T, Subbarao K.",Md Med. 2005 Winter;6(1):30-2. Review.,Md Med.  2005,PubMed,citation,PMID:15869106,pubmed,15869106,create date:2005/05/05 | first author:Joseph T
The organisation of the Department of Veterinary Services in Malaysia.,/pubmed/15884584,"Mohd Nor MN, Abu Mustapa AJ, Abu Hassan MA, Chang KW.",Rev Sci Tech. 2003 Aug;22(2):485-97. Review.,Rev Sci Tech.  2003,PubMed,citation,PMID:15884584,pubmed,15884584,create date:2005/05/12 | first author:Mohd Nor MN
The present and future organisation of Veterinary Services in Asia: the examples of the Republic of Korea and Japan.,/pubmed/15884585,"Ozawa Y, Chang K, Yoshida K, Michino H.",Rev Sci Tech. 2003 Aug;22(2):499-508. Review.,Rev Sci Tech.  2003,PubMed,citation,PMID:15884585,pubmed,15884585,create date:2005/05/12 | first author:Ozawa Y
"Hydatid control in Australia: where it began, what we have achieved and where to from here.",/pubmed/15907851,Jenkins DJ.,Int J Parasitol. 2005 Jun;35(7):733-40. Epub 2005 Apr 7. Review.,Int J Parasitol.  2005,PubMed,citation,PMID:15907851,pubmed,15907851,create date:2005/05/24 | first author:Jenkins DJ
Brucellosis--new aspects of an old disease.,/pubmed/15916641,"Cutler SJ, Whatmore AM, Commander NJ.",J Appl Microbiol. 2005;98(6):1270-81. Review. No abstract available. ,J Appl Microbiol.  2005,PubMed,citation,PMID:15916641,pubmed,15916641,create date:2005/05/27 | first author:Cutler SJ
Zoonotic potential of Mycobacterium avium ssp. paratuberculosis: the current position.,/pubmed/15916642,Grant IR.,J Appl Microbiol. 2005;98(6):1282-93. Review. No abstract available. ,J Appl Microbiol.  2005,PubMed,citation,PMID:15916642,pubmed,15916642,create date:2005/05/27 | first author:Grant IR
Leptospirosis: an emerging health problem in Thailand.,/pubmed/15916031,"Tangkanakul W, Smits HL, Jatanasen S, Ashford DA.",Southeast Asian J Trop Med Public Health. 2005 Mar;36(2):281-8. Review.,Southeast Asian J Trop Med Public Health.  2005,PubMed,citation,PMID:15916031,pubmed,15916031,create date:2005/05/27 | first author:Tangkanakul W
Methods for assessing the burden of parasitic zoonoses: echinococcosis and cysticercosis.,/pubmed/15922667,"Carabin H, Budke CM, Cowan LD, Willingham AL 3rd, Torgerson PR.",Trends Parasitol. 2005 Jul;21(7):327-33. Review.,Trends Parasitol.  2005,PubMed,citation,PMID:15922667,pubmed,15922667,create date:2005/06/01 | first author:Carabin H
"Australian ecosystems, capricious food chains and parasitic consequences for people.",/pubmed/15925595,Spratt DM.,Int J Parasitol. 2005 Jun;35(7):717-24. Epub 2005 Mar 29. Review.,Int J Parasitol.  2005,PubMed,citation,PMID:15925595,pubmed,15925595,create date:2005/06/01 | first author:Spratt DM
Echinostomes as experimental models for interactions between adult parasites and vertebrate hosts.,/pubmed/15922241,"Toledo R, Fried B.",Trends Parasitol. 2005 Jun;21(6):251-4. Review.,Trends Parasitol.  2005,PubMed,citation,PMID:15922241,pubmed,15922241,create date:2005/06/01 | first author:Toledo R
Schistosomiasis--an unusual cause of ureteral obstruction: a case history and perspective.,/pubmed/15931361,Neal PM.,Clin Med Res. 2004 Nov;2(4):216-27. Review.,Clin Med Res.  2004,PubMed,citation,PMID:15931361 | PMCID:PMC1069097,pubmed,15931361,create date:2005/06/03 | first author:Neal PM
"Birds, migration and emerging zoonoses: west nile virus, lyme disease, influenza A and enteropathogens.",/pubmed/15931279,"Reed KD, Meece JK, Henkel JS, Shukla SK.",Clin Med Res. 2003 Jan;1(1):5-12. Review.,Clin Med Res.  2003,PubMed,citation,PMID:15931279 | PMCID:PMC1069015,pubmed,15931279,create date:2005/06/03 | first author:Reed KD
The global importance of ticks.,/pubmed/15938502,"Jongejan F, Uilenberg G.",Parasitology. 2004;129 Suppl:S3-14. Review.,Parasitology.  2004,PubMed,citation,PMID:15938502,pubmed,15938502,create date:2005/06/09 | first author:Jongejan F
"Emerging tick-borne infections: rediscovered and better characterized, or truly 'new' ?",/pubmed/15940821,"Telford SR 3rd, Goethert HK.",Parasitology. 2004;129 Suppl:S301-27. Review.,Parasitology.  2004,PubMed,citation,PMID:15940821,pubmed,15940821,create date:2005/06/09 | first author:Telford SR 3rd
"Enteric viruses of humans and animals in aquatic environments: health risks, detection, and potential water quality assessment tools.",/pubmed/15944460,"Fong TT, Lipp EK.",Microbiol Mol Biol Rev. 2005 Jun;69(2):357-71. Review.,Microbiol Mol Biol Rev.  2005,PubMed,citation,PMID:15944460 | PMCID:PMC1197419,pubmed,15944460,create date:2005/06/10 | first author:Fong TT
Pathogenesis of severe acute respiratory syndrome.,/pubmed/15950449,"Lau YL, Peiris JS.",Curr Opin Immunol. 2005 Aug;17(4):404-10. Review.,Curr Opin Immunol.  2005,PubMed,citation,PMID:15950449,pubmed,15950449,create date:2005/06/14 | first author:Lau YL
Feline chlamydiosis.,/pubmed/15948428,Sykes JE.,Clin Tech Small Anim Pract. 2005 May;20(2):129-34. Review.,Clin Tech Small Anim Pract.  2005,PubMed,citation,PMID:15948428,pubmed,15948428,create date:2005/06/14 | first author:Sykes JE
Therapeutic strategies for human microsporidia infections.,/pubmed/15954858,"Didier ES, Maddry JA, Brindley PJ, Stovall ME, Didier PJ.",Expert Rev Anti Infect Ther. 2005 Jun;3(3):419-34. Review.,Expert Rev Anti Infect Ther.  2005,PubMed,citation,PMID:15954858,pubmed,15954858,create date:2005/06/16 | first author:Didier ES
The place of marker vaccines in control and eradication of animal diseases--aspects of comparative interest.,/pubmed/15962481,Pastoret PP.,Dev Biol (Basel). 2005;121:181-8. Review.,Dev Biol (Basel).  2005,PubMed,citation,PMID:15962481,pubmed,15962481,create date:2005/06/21 | first author:Pastoret PP
Is Chlamydophila felis a significant zoonotic pathogen?,/pubmed/15977615,Browning GF.,Aust Vet J. 2004 Nov;82(11):695-6. Review.,Aust Vet J.  2004,PubMed,citation,PMID:15977615,pubmed,15977615,create date:2005/06/28 | first author:Browning GF
Re-emergence of trichinellosis in southeastern Europe due to political and economic changes.,/pubmed/15979803,"Cuperlovic K, Djordjevic M, Pavlovic S.",Vet Parasitol. 2005 Sep 5;132(1-2):159-66. Review.,Vet Parasitol.  2005,PubMed,citation,PMID:15979803,pubmed,15979803,create date:2005/06/28 | first author:Cuperlovic K
Bovine torovirus (Breda virus) revisited.,/pubmed/15984322,"Hoet AE, Saif LJ.",Anim Health Res Rev. 2004 Dec;5(2):157-71. Review.,Anim Health Res Rev.  2004,PubMed,citation,PMID:15984322,pubmed,15984322,create date:2005/06/30 | first author:Hoet AE
"Cross-species transfer of viruses: implications for the use of viral vectors in biomedical research, gene therapy and as live-virus vaccines.",/pubmed/15986492,"Louz D, Bergmans HE, Loos BP, Hoeben RC.",J Gene Med. 2005 Oct;7(10):1263-74. Review.,J Gene Med.  2005,PubMed,citation,PMID:15986492,pubmed,15986492,create date:2005/06/30 | first author:Louz D
Vaccinating against zoonotic parasitic diseases: myth or reality?,/pubmed/15984327,Zarlenga DS.,Anim Health Res Rev. 2004 Dec;5(2):219-22. Review.,Anim Health Res Rev.  2004,PubMed,citation,PMID:15984327,pubmed,15984327,create date:2005/06/30 | first author:Zarlenga DS
"Vectorial role of some dermanyssoid mites (Acari, Mesostigmata, Dermanyssoidea).",/pubmed/15991823,"Valiente Moro C, Chauve C, Zenner L.",Parasite. 2005 Jun;12(2):99-109. Review.,Parasite.  2005,PubMed,citation,PMID:15991823,pubmed,15991823,create date:2005/07/05 | first author:Valiente Moro C
Trichinellosis in Argentina: an historical review.,/pubmed/16011875,"Ribicich M, Gamble HR, Rosa A, Bolpe J, Franco A.",Vet Parasitol. 2005 Sep 5;132(1-2):137-42. Review.,Vet Parasitol.  2005,PubMed,citation,PMID:16011875,pubmed,16011875,create date:2005/07/14 | first author:Ribicich M
Colonic spirochetosis in animals and humans.,/pubmed/16013401,Smith JL.,J Food Prot. 2005 Jul;68(7):1525-34. Review.,J Food Prot.  2005,PubMed,citation,PMID:16013401,pubmed,16013401,create date:2005/07/15 | first author:Smith JL
"The genus Cyclospora (Apicomplexa: Eimeriidae), with a description of Cyclospora schneideri n.sp. in the snake Anilius scytale scytale (Aniliidae) from Amazonian Brazil--a review.",/pubmed/16021295,Lainson R.,Mem Inst Oswaldo Cruz. 2005 Apr;100(2):103-10. Review.,Mem Inst Oswaldo Cruz.  2005,PubMed,citation,PMID:16021295,pubmed,16021295,create date:2005/07/16 | first author:Lainson R
Vaccine design for severe acute respiratory syndrome coronavirus.,/pubmed/16035944,"He Y, Jiang S.",Viral Immunol. 2005;18(2):327-32. Review.,Viral Immunol.  2005,PubMed,citation,PMID:16035944,pubmed,16035944,create date:2005/07/23 | first author:He Y
Public health aspects of dirofilariasis in the United States.,/pubmed/16039780,Theis JH.,Vet Parasitol. 2005 Oct 24;133(2-3):157-80. Review.,Vet Parasitol.  2005,PubMed,citation,PMID:16039780,pubmed,16039780,create date:2005/07/26 | first author:Theis JH
Unravelling Cryptosporidium and Giardia epidemiology.,/pubmed/16046184,"Cacciò SM, Thompson RC, McLauchlin J, Smith HV.",Trends Parasitol. 2005 Sep;21(9):430-7. Review.,Trends Parasitol.  2005,PubMed,citation,PMID:16046184,pubmed,16046184,create date:2005/07/28 | first author:Cacciò SM
Origin and evolution of highly pathogenic H5N1 avian influenza in Asia.,/pubmed/16085721,"Sims LD, Domenech J, Benigno C, Kahn S, Kamata A, Lubroth J, Martin V, Roeder P.",Vet Rec. 2005 Aug 6;157(6):159-64. Review.,Vet Rec.  2005,PubMed,citation,PMID:16085721,pubmed,16085721,create date:2005/08/09 | first author:Sims LD
"A decade of discoveries in veterinary protozoology changes our concept of ""subclinical"" toxoplasmosis.",/pubmed/16095840,McAllister MM.,Vet Parasitol. 2005 Sep 30;132(3-4):241-7. Review.,Vet Parasitol.  2005,PubMed,citation,PMID:16095840,pubmed,16095840,create date:2005/08/13 | first author:McAllister MM
Human behaviour and the epidemiology of parasitic zoonoses.,/pubmed/16102769,Macpherson CN.,Int J Parasitol. 2005 Oct;35(11-12):1319-31. Epub 2005 Jul 20. Review.,Int J Parasitol.  2005,PubMed,citation,PMID:16102769,pubmed,16102769,create date:2005/08/17 | first author:Macpherson CN
