"authors","title","year","journal","search","abstract"
"Smith, TC; Harper, AL; Nair, R; Wardyn, SE; Hanson, BM; Ferguson, DD; Dressler, AE","emerging swine zoonoses","2011","VECTOR-BORNE AND ZOONOTIC DISEASES","Web of Science","The majority of emerging infectious diseases are zoonotic in origin. Swine represent a potential reservoir for many novel pathogens and may transmit these to humans via direct contact with live animals (such as swine farmers and large animal veterinarians), or to the general human population via contaminated meat. We review recent emerging microbes associated with swine and discuss public health implications."
"Samuel S. Myers, Jonathan A. Patz","emerging threats to human health from global environmental change","2009","Annual Review of Environment and Resources","Annual Reviews","Large-scale anthropogenic changes to the natural environment, including land-use change, climate change, and the deterioration of ecosystem services, are all accelerating. These changes are interacting to generate five major emerging public health threats that endanger the health and well-being of hundreds of millions of people. These threats include increasing exposure to infectious disease, water scarcity, food scarcity, natural disasters, and population displacement. Taken together, they may represent the greatest public health challenge humanity has faced. There is an urgent need to improve our understanding of the dynamics of each of these threats: the complex interplay of factors that generate them, the characteristics of populations that make them particularly vulnerable, and the identification of which populations are at greatest risk from each of these threats. Such improved understanding would be the basis for stepped-up efforts at modeling and mapping global vulnerability to each of these threats. It would also help natural resource managers and policy makers to estimate the health impacts associated with their decisions and would allow aid organizations to target their resources more effectively."
"Fritz CL.","emerging tick-borne diseases","2009","Vet Clin North Am Small Anim Pract.","PubMed",NA
"Telford SR 3rd, Goethert HK.","emerging tick-borne infections: rediscovered and better characterized or truly 'new' ?","2004","Parasitology.","PubMed",NA
"Braden CR, Tauxe RV.","emerging trends in foodborne diseases","2013","Infect Dis Clin North Am.","PubMed",NA
"Tulsiani, SM; Lau, CL; Graham, GC; Van Den Hurk, AF; Jansen, CC; Smythe, LD; McKay, DB; Craig, SB","emerging tropical diseases in australia part 1 leptospirosis","2010","ANNALS OF TROPICAL MEDICINE AND PARASITOLOGY","Web of Science","Human leptospirosis is a zoonotic disease of global importance that causes significant morbidity and mortality, particularly in developing nations. In this review, the history, epidemiology, transmission, clinical presentation and treatment of this disease, and its impact in Australia, are discussed. Central to this review is the delineation of diagnostic methods for the disease and the challenges that this disease presents for both the clinician and diagnostic laboratory. This information should furnish clinicians with an updated tool to help overcome a number of problems associated with the diagnosis of leptospirosis."
"Tulsiani SM, Graham GC, Moore PR, Jansen CC, Van Den Hurk AF, Moore FA, Simmons RJ, Craig SB.","emerging tropical diseases in australia part 5 hendra virus","2011","Ann Trop Med Parasitol.","PubMed",NA
"Dhiman RC.","emerging vector-borne zoonoses: eco-epidemiology and public health implications in india","2014","Front Public Health.","PubMed",NA
"Manley, R; Boots, M; Wilfert, L","emerging viral disease risk to pollinating insects: ecological evolutionary and anthropogenic factors","2015","JOURNAL OF APPLIED ECOLOGY","Web of Science","1. The potential for infectious pathogens to spillover and emerge from managed populations to wildlife communities is poorly understood, but ecological, evolutionary and anthropogenic factors are all likely to influence the initial exposure and subsequent infection, spread and impact of disease. Fast-evolving RNA viruses, known to cause severe colony losses in managed honeybee populations, deserve particular attention for their propensity to jump between host species and thus threaten ecologically and economically important wild pollinator communities. 2. We review the literature on pollinator viruses to identify biological and anthropogenic drivers of disease emergence, highlight gaps in the literature, and discuss potential management strategies. 3. We provide evidence that many wild pollinator species are exposed to viruses from commercial species, resulting in multiple spillover events. However, it is not clear whether species become infected as a result of spillover or whether transmission is occurring within these wild populations. Ecological traits of pollinating insects, such as overlapping ranges, niches and behaviours, clearly promote cross-species transmission of RNA viruses. Moreover, we conclude that the social behaviour and phylogenetic relatedness of social pollinators further facilitate within-and between-host transmission, leaving these species particularly vulnerable to emerging diseases. 4. We argue that the commercial use of pollinators is a key driver of disease emergence in these beneficial insects and that this must be addressed by management and policy. 5. Synthesis and applications. There are important knowledge gaps, ranging from disease distribution and prevalence, to pathogen life history and virulence, to the impacts of disease emergence, which need to be addressed as research priorities. It is clear that avoiding anthropogenic pathogen spillover is crucial to preventing and managing disease emergence in pollinators, with far-reaching effects on our food security, ecosystem services and biodiversity. We argue that it is crucial to prevent the introduction of diseased pollinators into natural environments, which can be achieved through improved monitoring and management practices."
"Graham, BS; Sullivan, NJ","emerging viral diseases from a vaccinology perspective: preparing for the next pandemic","2018","NATURE IMMUNOLOGY","Web of Science","Emerging infectious diseases will continue to threaten public health and are sustained by global commerce, travel and disruption of ecological systems. Most pandemic threats are caused by viruses from either zoonotic sources or vector-borne sources. Developing better ways to anticipate and manage the ongoing microbial challenge will be critical for achieving the United Nations Sustainable Development Goals and, conversely, each such goal will affect the ability to control infectious diseases. Here we discuss how technology can be applied effectively to better prepare for and respond to new viral diseases with a focus on new paradigms for vaccine development."
"Njaa BL.","emerging viral encephalitides in dogs and cats","2008","Vet Clin North Am Small Anim Pract.","PubMed",NA
"Wilson, MR","emerging viral infections","2013","CURRENT OPINION IN NEUROLOGY","Web of Science","Purpose of review This review highlights research and development in the field of emerging viral causes of encephalitis over the past year. Recent findings There is new evidence for the presence of henipaviruses in African bats. There have also been promising advances in vaccine and neutralizing antibody research against Hendra and Nipah viruses. West Nile virus continues to cause large outbreaks in the United States, and long-term sequelae of the virus are increasingly appreciated. There is exciting new research regarding the variable susceptibility of different brain regions to neurotropic virus infection. Another cluster of solid organ transplant recipients developed encephalitis from organ donor-acquired lymphocytic choriomeningitis virus. The global epidemiology of Japanese encephalitis virus has been further clarified. Evidence continues to accumulate for the central nervous system involvement of dengue virus, and the recent deadly outbreak of enterovirus 71 in Cambodian children is discussed. Summary In response to complex ecological and societal dynamics, the worldwide epidemiology of viral encephalitis continues to evolve in surprising ways. The articles highlighted here include new research on virus epidemiology and spread, new outbreaks as well as progress in the development of vaccines and therapeutics."
"Mani, RS; Ravi, V; Desai, A; Madhusudana, SN","emerging viral infections in india","2012","PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES INDIA SECTION B-BIOLOGICAL SCIENCES","Web of Science","Despite an elaborate armamentarium to tackle microbes, emerging infectious diseases remain a crucial global challenge. Emerging infections can be defined as ""infections that have newly appeared in a population or have existed previously but are rapidly increasing in incidence or geographic range."" Several factors like increase in international travel and trade, human encroachment on wild-life habitats, changes in agricultural practices and wild-life trade have contributed to the emergence of pathogens. Emergence/re-emergence of several viral infections has been reported from India in the past few decades; some of the important emerging viral infections are discussed in this review. They include infection due to Nipah, Hantaviruses, Chikungunya, Human Enterovirus-71, Influenza, Chandipura, Crimean Congo, SARS Coronavirus, Buffalopox, Dengue and Japanese Encephalitis viruses. Creating increased awareness and training of clinical microbiologists/virologists for identification of new/emerging pathogens, and prompt reporting and management of outbreaks is essential to tackle the threat posed by emerging/re-emerging infections."
"Barboza, P; Tarantola, A; Lassel, L; Mollet, T; Quatresous, I; Paquet, C","emerging viral infections in south east asia and the pacific region","2008","MEDECINE ET MALADIES INFECTIEUSES","Web of Science","The epidemiology of several viral diseases underwent profound changes in South-East Asia and Oceania over the past decades. This was due to several factors. including the geographical distribution of vectors and the viruses they transmit: increasing traveling and trade: increasing ecological and demographic pressure. We reviewed the Current state of knowledge based oil published sources and available epidemiological data. The review was limited to potentially emerging viruses ill Southeast Asia and the Pacific reported in human cases. Dengue, Chikungunya, and Japanese Encephalitis viruses have recurred on a yearly, basis with a steady increase in these regions. Ross River and Barmah viruses now appear regularly in Australia. in all increasing number of cases. Nipah virus strikes regularly with limited but deadly epidemies in Southeast Asia. Finally, infections by lyssaviruses. Kunjin, Murray Valley, or Zika Viruses were also reviewed. (C) 2008 Elsevier Masson SAS. Tous droits reserves."
"Kumar, D; Humar, A","emerging viral infections in transplant recipients","2005","CURRENT OPINION IN INFECTIOUS DISEASES","Web of Science","Purpose of review Transplant patients are uniquely predisposed to emerging infections for a number of reasons. Two outbreaks; West Nile virus and severe acute respiratory syndrome, have recently provided important lessons on how transplant patients are affected, and how transplant programmes must adapt and evolve in the face of emerging infections. An update of emerging infections in transplant patients, using West Nile virus and severe acute respiratory syndrome as specific examples, is summarized here. Recent findings Exogenous immunosuppression, specific allograft factors, and extensive contact with the healthcare system all predispose transplant patients to emerging infections. Transplant patients may acquire West Nile virus through blood transfusion, donor transmission; or community exposure. Seroprevalence data in transplant populations suggest the risk of severe neurological disease is several fold higher in transplant recipients who acquire West Nile virus compared with immunocompetent individuals. Prevention strategies are critical in this population. These include nucleic acid testing of blood products and potentially also screening organ donors in a similar manner. During the outbreak of severe acute respiratory syndrome, transplant patients with severe and rapidly progressive disease were reported. Higher viral burdens appeared to be present in transplant patients and may have implications for the increased infectivity of these patients. Transplant programmes in severe acute respiratory syndrome areas were also adversely affected because of donor concerns, recipient issues and resource problems. Summary Transplant patients are uniquely predisposed to emerging infections. Lessons learned from West Nile virus and severe acute respiratory syndrome in transplantation should be applicable to future outbreaks of other emerging infectious diseases."
"Tyler KL.","emerging viral infections of the central nervous system: part 1","2009","Arch Neurol.","PubMed",NA
"Tyler KL.","emerging viral infections of the central nervous system: part 2","2009","Arch Neurol.","PubMed",NA
"Ceccaldi, PF; Longuet, P; Mandelbrot, L","emerging viral infectious diseases and pregnancy","2007","GYNECOLOGIE OBSTETRIQUE & FERTILITE","Web of Science","Various emerging diseases have been reported in recent years as epidemiologic monitoring improves. These infections can compromise the pregnancy, through adverse maternal outcomes, as well as the outcome for the child following transmission. We report a review of the literature concerning the most quoted emergent virus (H5N1, SARS Coronavirus, Chikungunya, West Nile virus), and relate the perinatal management. (C) 2007 Elsevier Masson SAS. Tous droits reserves."
"Koopmans M.","emerging viral zoonoses","2003","Acta Vet Scand Suppl.","PubMed",NA
"Clements, ACA; Pfeiffer, DU","emerging viral zoonoses: frameworks for spatial and spatiotemporal risk assessment and resource planning","2009","VETERINARY JOURNAL","Web of Science","Spatial epidemiological tools are increasingly being applied to emerging viral zoonoses (EVZ), partly because of improving analytical methods and technologies for data Capture and management, and partly because the demand is growing for more objective ways of allocating limited resources in the face of the emerging threat posed by these diseases. This review documents applications of geographical information systems (GIS), remote sensing (RS) and spatially-explicit statistical and mathematical models to epidemiological Studies of EVZ. Landscape epidemiology uses statistical associations between environmental variables and diseases to study and predict their spatial distributions. Phylogeography augments epidemiological knowledge by studying the evolution of viral genetics through space and time. Cluster detection and early warning systems assist surveillance and can permit timely interventions. Advanced statistical models can accommodate spatial dependence present in epidemiological datasets and can permit assessment of uncertainties in disease data and predictions. Mathematical models are particularly useful for testing and comparing alternative control strategies, whereas spatial decision-support systems integrate a variety of spatial epidemiological tools to facilitate widespread dissemination and interpretation of disease data. Improved spatial data collection systems and greater practical application of spatial epidemiological tools should be applied in real-world scenarios. (C) 2008 Elsevier Ltd. All rights reserved."
"Enria, DAM; Levis, SC","emerging viral zoonoses: hantavirus infections","2004","REVUE SCIENTIFIQUE ET TECHNIQUE DE L OFFICE INTERNATIONAL DES EPIZOOTIES","Web of Science","Hantaviruses are rodent-borne agents belonging to the Bunyaviridae family. These viruses, which are found throughout Europe, Asia and the Americas, are maintained by different species of rodents, in which they produce chronic, inapparent infections. Humans become infected through contact with urine, saliva or faeces from infected rodents, mainly via the aerosol route. In humans, clinical disease occurs in the form of two major syndromes: haemorrhagic fever with renal syndrome (HFRS) or hantavirus pulmonary syndrome (HPS). Haemorrhagic fever with renal syndrome mainly occurs in Europe and Asia and HPS has only ever been reported in the Americas. Person-to-person transmission of hantaviruses, although uncommon, was described during an outbreak of HPS in southern Argentina. Most epidemics of HFRS and HPS occur in areas with large populations of rodents that have a relatively high prevalence of infection."
"Howard CR, Fletcher NF.","emerging virus diseases: can we ever expect the unexpected?","2012","Emerg Microbes Infect.","PubMed",NA
"Kruse H, Kirkemo AM.","emerging zoonoses--yesterday today and tomorrow","2003","Acta Vet Scand Suppl.","PubMed",NA
"Brown C.","emerging zoonoses and pathogens of public health significance--an overview","2004","Rev Sci Tech.","PubMed",NA
"Sherikar, AT; Waskar, VS","emerging zoonoses and social-economic impact in india - a review","2005","INDIAN JOURNAL OF ANIMAL SCIENCES","Web of Science","Emerging and re-emerging zoonoses are newly recognized diseases or are newly evolved, or have occurred previously but have more recently shown an increase in incidence or expansion into a new geographic, host or vector range. Many new human pathogens that have emerged or reemerged worldwide originated from animals or from products of animal origin. The emergence of zoonotic diseases is associated with a range of underlying causal factors, represents a global threat to human and animal health. They hamper agricultural production, decrease availability of food and create barriers to trade. In India, livestock are important in supporting the livelihoods of poor farmers, consumers, traders and labourers throughout the country. Close association between human population groups and animals, consumption of unpasteurized milk and dairy products, intensification of animal production and increased trade of animals and animal products, the large number of stray dogs, illegal slaughtering and inappropriate waste disposal are some of the principle factors perpetuating infection in humans. Emergence or re-emergence of these diseases requires long-term actions from the veterinary sector to decrease incidence among disease hosts and reduce or interrupt transmission with commitment between the health sector and veterinary sector to implement common control programmes. A close collaboration is needed between animal keepers, farmers, veterinarians and other health professionals, including epidemiologists, occupational health workers, food technologists, specialists in environmental control and laboratory personnel."
"Vorou, RM; Papavassiliou, VG; Tsiodras, S","emerging zoonoses and vector-borne infections affecting humans in europe","2007","EPIDEMIOLOGY AND INFECTION","Web of Science","The purpose of this study was to assess and describe the current spectrum of emerging zoonoses between 2000 and 2006 in European countries. A computerized search of the Medline database from January 1966 to August 2006 for all zoonotic agents in European countries was performed using specific criteria for emergence. Fifteen pathogens were identified as emerging in Europe from 2000 to August 2006: Rickettsiae spp., Anaplasma phagocytophilum, Borrelia burgdoferi, Bartonella spp., Francisella tularensis, Crimean Congo Haemorrhagic Fever Virus, Hantavirus, Toscana virus, Tick-borne encephalitis virus group, West Nile virus, Sindbis virus, Highly Pathogenic Avian influenza, variant Creutzfeldt-Jakob disease, Trichinella spp., and Echinococus multilocularis. Main risk factors included climatic variations, certain human activities as well as movements of animals, people or goods. Multi-disciplinary preventive strategies addressing these pathogens are of public health importance. Uniform harmonized case definitions should be introduced throughout Europe as true prevalence and incidence estimates are otherwise impossible."
"Tabbaa D.","emerging zoonoses: responsible communication with the media--lessons learned and future perspectives","2010","Int J Antimicrob Agents.","PubMed",NA
"Learner M.","emerging zoonotic and vector-borne diseases pose challenges for the 21st century","2013","J S C Med Assoc.","PubMed",NA
"Gerlier D.","emerging zoonotic viruses: new lessons on receptor and entry mechanisms","2011","Curr Opin Virol.","PubMed",NA
"Tang JW, Shetty N, Lam TT, Hon KL.","emerging novel and known influenza virus infections in humans","2010","Infect Dis Clin North Am.","PubMed",NA
"Kunzel, F; Joachim, A","encephalitozoonosis in rabbits","2010","PARASITOLOGY RESEARCH","Web of Science","Encephalitozoon cuniculi is an obligatory intracellular microsporidian parasite that can infect a wide range of mammals, including rodents, rabbits, horses, carnivores and humans, in which the organism is known as an opportunistic pathogen of immunocompromised individuals. Nevertheless, the main host for E. cuniculi is the rabbit and infections usually have a sub-clinical course. However, severe disease is recognised in pet rabbits more frequently within the last years. As the central nervous system, the kidney and the eye are predilection organs for the organism, predominant histopathological alterations comprise granulomatous meningoencephalitis, chronical interstitial nephritis and phacoclastic uveitis. A definitive diagnosis of encephalitozoonosis in vivo is difficult, but it is important for specific treatment and the determination of possible zoonotic risks. This review article covers epidemiology, pathology, pathophysiology, immunology, clinical signs, differential diagnosis, diagnosis and treatment of encephalitozoonosis in rabbits."
"Pagnoux, C; Berezne, A; Damade, R; Paillot, J; Aouizerate, J; Le Guern, V; Salmon, D; Guillevin, L","encrusting cystitis due to corynebacterium urealyticum in a patient with anca-associated vasculitis: case report and review of the literature","2011","SEMINARS IN ARTHRITIS AND RHEUMATISM","Web of Science","Objectives: To report a patient with systemic ANCA-associated vasculitis, under maintenance treatment, who had persistent microscopic hematuria and developed recurrent pelvic pain due to Corynebacterium urealyticum encrusting cystitis. The relevant literature on this infection is reviewed. Methods: Descriptive case report and a review of the literature (PubMed search). Results: A 39-year-old woman on maintenance therapy for systemic ANCA-associated vasculitis, diagnosed 10 months earlier and with persistent microscopic hematuria, developed recurrent pelvic pain. She had received several immunosuppressants (including cyclophosphamide and rituximab) since the onset of her vasculitis, as well as cycles of broad-spectrum antibiotics during the acute initial phase of her disease. Computerized tomography of the pelvis and cystoscopy showed several encrusted calcifications in the bladder mucosa, and, finally, urine culture (selective media) led to the diagnosis of C. urealyticum infection. Most of the bladder-encrusted stones were removed during cystoscopy and daily intramuscular teicoplanin injections were given for 14 days. Her symptoms disappeared rapidly and completely. On reviewing the literature, immunosuppression, previous broad-spectrum antibiotics, urogenital alkaline pH, and prolonged bladder catheterization are predisposing factors for this rare infection. C. urealyticum encrusting cystitis has been reported in patients with systemic diseases but not yet in ANCA-associated vasculitis. Outcome is almost always good under adequate antibiotic therapy, mainly glycopeptides. Conclusion: Physicians should be aware of this unusual but potentially emerging infectious complication that can be challenging in ANCA-associated vasculitis, because the urinary tract can be affected by the vasculitis or as a complication of previous cyclophosphamide therapy. (C) 2011 Elsevier Inc. All rights reserved. Semin Arthritis Rheum 41:297-300"
"Wheelhouse, N; Longbottom, D","endemic and emerging chlamydial infections of animals and their zoonotic implications","2012","TRANSBOUNDARY AND EMERGING DISEASES","Web of Science","The Chlamydiae are a diverse group of obligate intracellular Gram-negative bacteria that are known to infect a wide variety of host species and are responsible for a wide range of diseases in animals and man. Many of these organisms have been extensively characterized and their zoonotic implications recognized. Studies of human disease first provided evidence for the disease-causing potential of Chlamydia-related bacteria; however, there is now increasing evidence that a number of these organisms may also be the causative agents for a number of pathogenic conditions of livestock that had previously remained undiagnosed. The aim of this review is to draw together the evidence for the role of the newly emerging chlamydial infections in livestock disease, the current understanding of their roles in human disease and highlight the potential for zoonotic transmission."
"Diaz JH.","endemic tickborne infectious diseases in louisiana and the gulf south","2009","J La State Med Soc.","PubMed",NA
"Aguilar, PV; Estrada-Franco, JG; Navarro-Lopez, R; Ferro, C; Haddow, AD; Weaver, SC","endemic venezuelan equine encephalitis in the americas: hidden under the dengue umbrella","2011","FUTURE VIROLOGY","Web of Science","Venezuelan equine encephalitis (VEE) is an emerging infectious disease in Latin America. Outbreaks have been recorded for decades in countries with enzootic circulation, and the recent implementation of surveillance systems has allowed the detection of additional human cases in countries and areas with previously unknown VEE activity. Clinically, VEE is indistinguishable from dengue and other arboviral diseases and confirmatory diagnosis requires the use of specialized laboratory tests that are difficult to afford in resource-limited regions. Thus, the disease burden of endemic VEE in developing countries remains largely unknown, but recent surveillance suggests that it may represent up to 10% of the dengue burden in neotropical cities, or tens-of-thousands of cases per year throughout Latin America. The potential emergence of epizootic viruses from enzootic progenitors further highlights the need to strengthen surveillance activities, identify mosquito vectors and reservoirs and develop effective strategies to control the disease. In this article, we provide an overview of the current status of endemic VEE that results from spillover of the enzootic cycles, and we discuss public health measures for disease control as well as future avenues for VEE research."
"Boris D. Heifets, Pablo E. Castillo","endocannabinoid signaling and long-term synaptic plasticity","2009","Annual Review of Physiology","Annual Reviews","Endocannabinoids (eCBs) are key activity-dependent signals regulating synaptic transmission throughout the central nervous system. Accordingly, eCBs are involved in neural functions ranging from feeding homeostasis to cognition. There is great interest in understanding how exogenous (e.g., cannabis) and endogenous cannabinoids affect behavior. Because behavioral adaptations are widely considered to rely on changes in synaptic strength, the prevalence of eCB-mediated long-term depression (eCB-LTD) at synapses throughout the brain merits close attention. The induction and expression of eCB-LTD, although remarkably similar at various synapses, are controlled by an array of regulatory influences that we are just beginning to uncover. This complexity endows eCB-LTD with important computational properties, such as coincidence detection and input specificity, critical for higher CNS functions like learning and memory. In this article, we review the major molecular and cellular mechanisms underlying eCB-LTD, as well as the potential physiological relevance of this widespread form of synaptic plasticity."
"Parmar J, Winterbottom A, Cooke F, Lever AM, Gaunt M.","endovascular aortic stent graft infection with streptococcus equi: the first documented case","2013","Vascular.","PubMed",NA
"Kelly Sims Gallagher, John P. Holdren, Ambuj D. Sagar","energy-technology innovation","2006","Annual Review of Environment and Resources","Annual Reviews","Energy-technology innovation (ETI) is the set of processes leading to new or improved energy technologies that can augment energy resources; enhance the quality of energy services; and reduce the economic, environmental, or political costs associated with energy supply and use. Advances achieved through ETI have made large contributions to the improvement of the human condition over the past 100 years. Still more will be required of ETI during the decades ahead if civilization is to succeed in meeting what we believe are the three greatest energy challenges still before it: reducing dependence on oil, drastically upgrading the energy services provided to the world's poor, and providing the energy required to increase and sustain prosperity everywhere without wrecking the global climate with the emissions from fossil-fuel burning. This will require significant enhancements to ETI through deeper analysis of ETI processes, greater investments in ETI, improved innovation policies, and better coordination and partnerships across sectors and countries."
"Bardosh KL, Scoones JC, Grace D, Kalema-Zikusoka G, Jones KE, de Balogh K, Waltner-Toews D, Bett B, Welburn SC, Mumford E, Dzingirai V.","engaging research with policy and action: what are the challenges of responding to zoonotic disease in africa?","2017","Philos Trans R Soc Lond B Biol Sci.","PubMed",NA
"Vallat B, Mallet E.","ensuring good governance to address emerging and re-emerging animal disease threats: supporting the veterinary services of developing countries to meet oie international standards on quality","2006","Rev Sci Tech.","PubMed",NA
"Money, NN; Maves, RC; Sebeny, P; Kasper, MR; Riddle, MS","enteric disease surveillance under the afhsc-geis: current efforts landscape analysis and vision forward","2011","BMC PUBLIC HEALTH","Web of Science","The mission of the Armed Forces Health Surveillance Center, Division of Global Emerging Infections Surveillance and Response System (AFHSC-GEIS) is to support global public health and to counter infectious disease threats to the United States Armed Forces, including newly identified agents or those increasing in incidence. Enteric diseases are a growing threat to U. S. forces, which must be ready to deploy to austere environments where the risk of exposure to enteropathogens may be significant and where routine prevention efforts may be impractical. In this report, the authors review the recent activities of AFHSC-GEIS partner laboratories in regards to enteric disease surveillance, prevention and response. Each partner identified recent accomplishments, including support for regional networks. AFHSC/GEIS partners also completed a Strengths, Weaknesses, Opportunities and Threats (SWOT) survey as part of a landscape analysis of global enteric surveillance efforts. The current strengths of this network include excellent laboratory infrastructure, equipment and personnel that provide the opportunity for high-quality epidemiological studies and test platforms for point-of-care diagnostics. Weaknesses include inconsistent guidance and a splintered reporting system that hampers the comparison of data across regions or longitudinally. The newly chartered Enterics Surveillance Steering Committee (ESSC) is intended to provide clear mission guidance, a structured project review process, and central data management and analysis in support of rationally directed enteric disease surveillance efforts."
"Greig JD, Lee MB.","enteric outbreaks in long-term care facilities and recommendations for prevention: a review","2009","Epidemiol Infect.","PubMed",NA
"Fong, TT; Lipp, EK","enteric viruses of humans and animals in aquatic environments: health risks detection and potential water quality assessment tools","2005","MICROBIOLOGY AND MOLECULAR BIOLOGY REVIEWS","Web of Science","Waterborne enteric viruses threaten both human and animal health. These pathogens are host specific and cause a wide range of diseases and symptoms in humans or other animals. While considerable research has documented the risk of enteric viruses to human health from contact with contaminated water, the current bacterial indicator-based methods for evaluation of water quality are often ineffectual proxies for pathogenic viruses. Additionally, relatively little work has specifically investigated the risk of waterborne viruses to animal health, and this risk currently is not addressed by routine water quality assessments. Nonetheless, because of their host specificity, enteric viruses can fulfill a unique role both for assessing health risks and as measures of contamination source in a watershed, yet the use of animal, as well as human, host-specific viruses in determining sources of fecal pollution has received little attention. With improved molecular detection assays, viruses from key host groups can be targeted directly using PCR amplification or hybridization with a high level of sensitivity, and specificity. A multispecies viral analysis would provide needed information for controlling pollution by source, determining human health risks based on assessments of human virus loading and exposure, and determining potential risks to production animal health and could indicate the potential for the presence of other zoonotic pathogens. While there is a need to better understand the prevalence and environmental distribution of nonhuman enteric viruses, the development of improved methods for specific and sensitive detection will facilitate the use of these microbes for library-independent source tracking and water quality assessment tools."
"Franz, CMAP; Huch, M; Abriouel, H; Holzapfel, W; Galvez, A","enterococci as probiotics and their implications in food safety","2011","INTERNATIONAL JOURNAL OF FOOD MICROBIOLOGY","Web of Science","Enterococci belong to the lactic acid bacteria (LAB) and they are of importance in foods due to their involvement in food spoilage and fermentations, as well as their utilisation as probiotics in humans and slaughter animals. However, they are also important nosocomial pathogens that cause bacteraemia, endocarditis and other infections. Some strains are resistant to many antibiotics and possess virulence factors such as adhesins, invasins, pili and haemolysin. The role of enterococci in disease has raised questions on their safety for use in foods or as probiotics. Studies on the incidence of virulence traits among enterococcal strains isolated from food showed that some can harbour virulence traits, but it is also thought that virulence is not the result of the presence of specific virulence determinants alone, but is rather a more intricate process. Specific genetic lineages of hospital-adapted strains have emerged, such as E. faecium clonal complex (CC) 17 and E. faecalis CC2, CC9, CC28 and CC40, which are high risk enterococcal clonal complexes. These are characterised by the presence of antibiotic resistance determinants and/or virulence factors, often located on pathogenicity islands or plasmids. Mobile genetic elements thus are considered to play a major role in the establishment of problematic lineages. Although enterococci occur in high numbers in certain types of fermented cheeses and sausages, they are not deliberately added as starter cultures. Some E. faecium and E. faecalis strains are used as probiotics and are ingested in high numbers, generally in the form of pharmaceutical preparations. Such probiotics are administered to treat diarrhoea, antibiotic-associated diarrhoea or irritable bowel syndrome, to lower cholesterol levels or to improve host immunity. In animals, enterococcal probiotics are mainly used to treat or prevent diarrhoea, for immune stimulation or to improve growth. From a food microbiological point of view, the safety of the bacteria used as probiotics must be assured, and data on the major strains in use so far indicate that they are safe. The advantage of use of probiotics in slaughter animals, from a food microbiological point of view, lies in the reduction of zoonotic pathogens in the gastrointestinal tract of animals which prevents the transmission of these pathogens via food. The use of enterococcal probiotics should, in view of the development of problematic lineages and the potential for gene transfer in the gastrointestinal tract of both humans and animals, be carefully monitored, and the advantages of using these and new strains should be considered in a well contemplated risk/benefit analysis. (C) 2011 Elsevier B.V. All rights reserved."
"Hammerum AM.","enterococci of animal origin and their significance for public health","2012","Clin Microbiol Infect.","PubMed",NA
"Abat C, Huart M, Garcia V, Dubourg G, Raoult D.","enterococcus faecalis urinary-tract infections: do they have a zoonotic origin?","2016","J Infect.","PubMed",NA
"Thellier M, Breton J.","enterocytozoon bieneusi in human and animals focus on laboratory identification and molecular epidemiology","2008","Parasite.","PubMed",NA
"Caprioli, A; Morabito, S; Brugere, H; Oswald, E","enterohaemorrhagic escherichia coli: emerging issues on virulence and modes of transmission","2005","VETERINARY RESEARCH","Web of Science","Enterohaemorrhagic Escherichia coli ( EHEC) constitute a subset of serotypes ( E. coli O157 and some other serogroups) of Shiga toxin ( Stx)-producing E. coli (STEC) firmly associated with severe human illnesses like bloody diarrhoea and haemolytic uraemic syndrome. Stx production is essential but not sufficient for EHEC virulence. Most strains are capable of colonising the intestinal mucosa of the host with the ""attaching and effacing"" mechanism, genetically governed by a large pathogenicity island ( PAI) defined as the Locus of Enterocyte Effacement. Other virulence factors carried by mobile genetic elements like PAI and plasmids have been recently described, and their role in the pathogenic process has not been fully elucidated. EHEC are zoonotic pathogens. They rarely cause disease in animals, and ruminants are recognised as their main natural reservoir. Cattle are considered to be the most important source of human infections with EHEC O157, and the ecology of the organism in cattle farming has been extensively studied. The organism has also been reported in sheep, goats, water buffalos, and deer. Pigs and poultry are not considered to be a source of EHEC and the sporadic reports may derive from accidental exposure to ruminant dejections. The epidemiology of EHEC infections has remarkably changed during the past ten years and an increasing number of unusual food vehicles have been associated with human infections. New routes of transmission have emerged, like contact with animals during farm visits and a wide variety of environment-related exposures. As for other zoonotic agents, having animals and raw products that are free from EHEC is not possible in practice. However, their occurrence can be minimised by applying high standards of hygiene in all the steps of the food production chain."
"Palacios, G; Oberste, MS","enteroviruses as agents of emerging infectious diseases","2005","JOURNAL OF NEUROVIROLOGY","Web of Science","Although the enteroviruses as a group are ubiquitous and not normally considered as ""emerging pathogens,"" the many different serotypes circulate at different frequencies in any given year and the prevalence of a given serotype may fluctuate wildly from year to year. As a result, several enterovirus serotypes have been associated with the emergence of specific diseases ( for example, pandemic acute hemorrhagic conjunctivitis) and specific serotypes have emerged to cause outbreaks of major public health concern. Enterovirus 71 is a recognized cause of epidemic severe central nervous system disease in Southeast Asia. Acute hemorrhagic conjunctivitis was a newly described disease in the 1970s associated with emergence of enterovirus 70 and coxsackievirus A24 variant. In addition, the impending eradication of poliovirus and some of the challenges currently faced by the eradication program present the possibility that poliomyelitis could emerge in the posteradication era. These links between enterovirus infections and emerging diseases are reviewed."
